שם ספק,דגם,HomMe ITEM NUMBER,MAIN PICTURE,OTHER PICTURES,COLORS,MATERIAL,PRODUCT NAME,Descreption,Size,COST,Cost+VIT,price shekel,price -10%,Price
GUBER,AMBASSADOR,BR1,BR1,BR1A,,מלמין/MDF,GUBER AMBASSADOR,סט מלא לחדר שינה,,2460,2878,4029,,4029
GUBER,TORINO,BR2,BR2,BR2A,,מלמין/MDF,GUBER TORINO,סט מלא לחדר שינה,,2480,2902,4062,,4062
GUBER,IMPERIA,BR3,BR3,BR3A,,מלמין/MDF,GUBER IMPERIA,סט מלא לחדר שינה,,2050,2399,3358,,3358
GUBER,PORTUGAL,BR4,BR4,BR4A,,מלמין/MDF,GUBER PORTUGAL,סט מלא לחדר שינה,,2650,3101,4341,,4341
GUBER,ZEBRA,BR5,BR5,BR5A,,מלמין/MDF,GUBER ZEBRA,סט מלא לחדר שינה,,2150,2516,3522,,3522
GUBER,KING_DAVID,BR6,BR6,BR6A,,מלמין/MDF,GUBER KING_DAVID,סט מלא לחדר שינה,,2160,2527,3538,,3538
GUBER,CASABLANCA,BR7,BR7,BR7A,,מלמין/MDF,GUBER CASABLANCA,סט מלא לחדר שינה,,2160,2527,3538,,3538
GUBER,MAROCO,BR8,BR8,BR8A,,מלמין/MDF,GUBER MAROCO,סט מלא לחדר שינה,,2040,2387,3342,,3342
GUBER,MARCHELO,BR9,BR9,BR9A,,מלמין/MDF,GUBER MARCHELO,סט מלא לחדר שינה,,2540,2972,4161,,4161
GUBER,SIMPHONIA,BR10,BR10,BR10A,,מלמין/MDF,GUBER SIMPHONIA,סט מלא לחדר שינה,,2160,2527,3538,,3538
GUBER,OLYMPUS,BR11,BR11,BR11A,,מלמין/MDF,GUBER OLYMPUS,סט מלא לחדר שינה,,2380,2785,3898,,3898
GUBER,CALYPSO,BR12,BR12,BR12A,,מלמין/MDF,GUBER CALYPSO,סט מלא לחדר שינה,,1890,2211,3096,,3096
GUBER,SHARTON,BR13,BR13,BR13A,,מלמין/MDF,GUBER SHARTON,סט מלא לחדר שינה,,2480,2902,4062,,4062
GUBER,TROYA,BR14,BR14,BR14A,,מלמין/MDF,GUBER TROYA,סט מלא לחדר שינה,,2480,2902,4062,,4062
