No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,3,KR05 chair,S-ARMBT1,ARMBT1,1,ARMBT1,"ARMBT1A, ARMBT1B, ARMBT1C",,PU/fabric+aluminum leg,כורסא - ARMBT1,,,78*90*103,0.4,,,,,,,,60 ימי עבודה בכפוף להבהרות,,340,1.5,,,,,,,,510,3.5,,,1190,17%,1392,2.5,3481,,,,2.2,3063,,1671,54.5%,,,,
2,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,,KR05 chair,S-ARMBT1,ARMBT1,2,,,,full chinese leather+aluminum leg,כורסא - ARMBT1,,,78*90*103,0.4,,,,,,,,,,445,1.5,,,,,,,,667.5,3.5,,,1558,17%,1822,2.5,4556,,,,2.2,4009,,2187,54.5%,,,,
3,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,3,KR05 chair,S-ARMBT1,ARMBT1,3,ARMBT1,"ARMBT1A, ARMBT1B, ARMBT1C",,full italy leather+aluminum leg,כורסא - ARMBT1,,,78*90*103,0.4,,,,,,,,,,455,1.5,,,,,,,,682.5,3.5,,,1593,17%,1863,2.5,4658,,,,2.2,4099,,2236,54.5%,,,,
4,סלון,הדום,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,4,KR05 stool,S-ARMBT1,ARMBT2,1,ARMBT1,"ARMBT1A, ARMBT1B, ARMBT1C",,PU/fabric+aluminum leg,הדום - ARMBT2,,,62*62*43,0.2,,,,,,,,,,106,1.5,,,,,,,,159,3.5,,,371,17%,434,2.5,1085,,,,2.2,955,,521,54.5%,,,,
5,סלון,הדום,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,4,KR05 stool,S-ARMBT1,ARMBT2,2,ARMBT1,"ARMBT1A, ARMBT1B, ARMBT1C",,full chinese leather+aluminum leg,הדום - ARMBT2,,,62*62*43,0.2,,,,,,,,,,125,1.5,,,,,,,,187.5,3.5,,,438,17%,512,2.5,1280,,,,2.2,1126,,614,54.5%,,,,
6,סלון,הדום,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,4,KR05 stool,S-ARMBT1,ARMBT2,3,ARMBT1,"ARMBT1A, ARMBT1B, ARMBT1C",,full italy leather+aluminum leg,הדום - ARMBT2,,,62*62*43,0.2,,,,,,,,,,145,1.5,,,,,,,,217.5,3.5,,,508,17%,594,2.5,1484,,,,2.2,1306,,713,54.5%,,,,
7,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,7,KR07,S-ARMBT7,ARMBT7,,ARMBT2,ARMBT2A,,solid wood + Fabric,כורסא - ARMBT7,,,chair：80*90*95 ,0.7,,,,,,,,,,279.9666667,1.5,,,,,,,,419.95,3.5,,,980,17%,1146,2.5,2866,,,,2.2,2522,,1376,54.5%,,,,
8,סלון,הדום,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,7,KR07,S-ARMBT7,ARMBT8,,ARMBT2,ARMBT2A,,solid wood + Fabric,הדום - ARMBT8,,,otto：58*47*39,0.12,,,,,,,,,,129.28,1.5,,,,,,,,193.92,3.5,,,452,17%,529,2.5,1324,,,,2.2,1165,,635,54.5%,,,,
9,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,5,K26,S-ARMBT9,ARMBT9,1,ARMBT3,"ARMBT3A, ARMBT3B, ARMBT3C",,PU+S/S leg,כורסא - ARMBT9,,,chair:74*90*103,0.5,,,,,,,,,,362.8333333,1.5,,,,,,,,544.25,3.5,,,1270,17%,1486,2.5,3715,,,,2.2,3269,,1783,54.5%,,,,
10,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,5,K26,S-ARMBT9,ARMBT9,2,ARMBT3,"ARMBT3A, ARMBT3B, ARMBT3C",,chinese leather+S/S  leg,כורסא - ARMBT9,,,chair:74*90*103,0.5,,,,,,,,,,432,1.5,,,,,,,,648,3.5,,,1512,17%,1769,2.5,4423,,,,2.2,3892,,2123,54.5%,,,,
11,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,5,K26,S-ARMBT9,ARMBT9,3,ARMBT3,"ARMBT3A, ARMBT3B, ARMBT3C",,Italian leather+S/S leg,כורסא - ARMBT9,,,chair:74*90*103,0.5,,,,,,,,,,438.6666667,1.5,,,,,,,,658,3.5,,,1535,17%,1796,2.5,4491,,,,2.2,3952,,2156,54.5%,,,,
12,סלון,הדום,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,5,K26,S-ARMBT9,ARMBT10,1,ARMBT3,"ARMBT3A, ARMBT3B, ARMBT3C",,PU+S/S leg,הדום - ARMBT10,,,stool:58*56*45,0.2,,,,,,,,,,145.4666667,1.5,,,,,,,,218.2,3.5,,,509,17%,596,2.5,1489,,,,2.2,1311,,715,54.5%,,,,
13,סלון,הדום,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,5,K26,S-ARMBT9,ARMBT10,2,ARMBT3,"ARMBT3A, ARMBT3B, ARMBT3C",,chinese leather+S/S leg,הדום - ARMBT10,,,stool:58*56*45,0.2,,,,,,,,,,168.8,1.5,,,,,,,,253.2,3.5,,,591,17%,691,2.5,1728,,,,2.2,1521,,829,54.5%,,,,
14,סלון,הדום,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,5,K26,S-ARMBT9,ARMBT10,3,ARMBT3,"ARMBT3A, ARMBT3B, ARMBT3C",,Italian leather+S/S  leg,הדום - ARMBT10,,,stool:58*56*45,0.2,,,,,,,,,,171.3,1.5,,,,,,,,256.95,3.5,,,600,17%,701,2.5,1754,,,,2.2,1543,,842,54.5%,,,,
15,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,6,K26A,S-ARMBT15,ARMBT15,1,ARMBT4,ARMBT4A,,PU+walnut+ S/S,כורסא - ARMBT15,,,74*84*80,0.45,,,,,,,,,,351.8833333,1.5,,,,,,,,527.825,3.5,,,1232,17%,1441,2.5,3602,,,,2.2,3170,,1729,54.5%,,,,
16,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,6,K26A,S-ARMBT15,ARMBT15,2,ARMBT4,ARMBT4A,,chinese leather+walnut+ S/S,כורסא - ARMBT15,,,74*84*80,0.45,,,,,,,,,,410.2166667,1.5,,,,,,,,615.325,3.5,,,1436,17%,1680,2.5,4200,,,,2.2,3696,,2016,54.5%,,,,
17,סלון,כורסא,,,,,,,BETTY - HONGYE FURNITURE,BT,,,,,6,K26A,S-ARMBT15,ARMBT15,3,ARMBT4,ARMBT4A,,Italian leather+walnut+ S/S,כורסא - ARMBT15,,,74*84*80,0.45,,,,,,,,,,416.8833333,1.5,,,,,,,,625.325,3.5,,,1459,17%,1707,2.5,4268,,,,2.2,3756,,2049,54.5%,,,,
