handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1
abe2cea2-b33a-42f0-863b-04a3381bf400,Product,כורסא - ARMBT76,Size: 49*44*75<br>Materials: ash<br>Price: 885<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT20.jpg,סלון;כורסא (ק.מ);כורסא (ת.ק),1_ARMBT76,,885,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19c24098-c5d7-4d98-b9bd-1777e3687727,Product,כורסא - ARMBT77,Size: 77*77*103<br>Materials: ash wood<br>Price: 2608<br>,,סלון;כורסא (ק.מ);כורסא (ת.ק),2_ARMBT77,,2608,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413fd2d1-3be6-4042-bc2f-70a70570db23,Product,S-ARMBT153,<b>S-ARMBT153_ARMBT153</b><br>Size: chair:68*95*82<br>Materials: fabric+S/S<br>Price: 2617<br><br><b>S-ARMBT153_ARMBT154</b><br>Size: otto：66*66*39<br>Materials: fabric+S/S<br>Price: 1326<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT153.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT153A.jpg,סלון,S_ARMBT153,,3943,,true,,,InStock,,S-ARMBT153_ARMBT153,DROP_DOWN,לא לכלול;S-ARMBT153_ARMBT153,S-ARMBT153_ARMBT154,DROP_DOWN,לא לכלול;S-ARMBT153_ARMBT154,,,,,,,,,,,,,,,,,,,,,
413fd2d1-3be6-4042-bc2f-70a70570db23,Variant,S-ARMBT153,<b>S-ARMBT153_ARMBT153</b><br>Size: chair:68*95*82<br>Materials: fabric+S/S<br>Price: 2617<br><br><b>S-ARMBT153_ARMBT154</b><br>Size: otto：66*66*39<br>Materials: fabric+S/S<br>Price: 1326<br>,,סלון,S_ARMBT153_0,,0,-1291,true,,,InStock,,S-ARMBT153_ARMBT153,DROP_DOWN,S-ARMBT153_ARMBT153,S-ARMBT153_ARMBT154,DROP_DOWN,S-ARMBT153_ARMBT154,,,,,,,,,,,,,,,,,,,,,
413fd2d1-3be6-4042-bc2f-70a70570db23,Variant,S-ARMBT153,<b>S-ARMBT153_ARMBT153</b><br>Size: chair:68*95*82<br>Materials: fabric+S/S<br>Price: 2617<br><br><b>S-ARMBT153_ARMBT154</b><br>Size: otto：66*66*39<br>Materials: fabric+S/S<br>Price: 1326<br>,,סלון,S_ARMBT153_1,,0,-2617,true,,,InStock,,S-ARMBT153_ARMBT153,DROP_DOWN,לא לכלול,S-ARMBT153_ARMBT154,DROP_DOWN,S-ARMBT153_ARMBT154,,,,,,,,,,,,,,,,,,,,,
413fd2d1-3be6-4042-bc2f-70a70570db23,Variant,S-ARMBT153,<b>S-ARMBT153_ARMBT153</b><br>Size: chair:68*95*82<br>Materials: fabric+S/S<br>Price: 2617<br><br><b>S-ARMBT153_ARMBT154</b><br>Size: otto：66*66*39<br>Materials: fabric+S/S<br>Price: 1326<br>,,סלון,S_ARMBT153_2,,0,-3943,true,,,InStock,,S-ARMBT153_ARMBT153,DROP_DOWN,לא לכלול,S-ARMBT153_ARMBT154,DROP_DOWN,לא לכלול,,,,,,,,,,,,,,,,,,,,,
413fd2d1-3be6-4042-bc2f-70a70570db23,Variant,S-ARMBT153,<b>S-ARMBT153_ARMBT153</b><br>Size: chair:68*95*82<br>Materials: fabric+S/S<br>Price: 2617<br><br><b>S-ARMBT153_ARMBT154</b><br>Size: otto：66*66*39<br>Materials: fabric+S/S<br>Price: 1326<br>,,סלון,S_ARMBT153_3,,0,-2617,true,,,InStock,,S-ARMBT153_ARMBT153,DROP_DOWN,S-ARMBT153_ARMBT153,S-ARMBT153_ARMBT154,DROP_DOWN,לא לכלול,,,,,,,,,,,,,,,,,,,,,
5ffbdaaa-a221-4007-a3e2-bfa9a32947ce,Product,כורסא - ARMBT79,Size: 79*103(110)*82(71)<br>Price: 0<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT23.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT23A.jpg,סלון;כורסא (ק.מ);כורסא (ת.ק),4_ARMBT79,,0,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05709271-175f-4c5f-9eba-c2262a54440d,Product,כורסא - ARMBT102,Size: 80*83*75<br>Materials: PU/fabric+stainlesss steel<br>Price: 3163<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT102.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT102A.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT102B.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT102C.jpg,סלון;כורסא (ק.מ);כורסא (ת.ק),5_ARMBT102,,3163,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed7d9716-1f24-40f6-aa7f-e666085b62f6,Product,כורסא - ARMBT103,Size: 86*76*84<br>Materials: PU+iron plating<br>Price: 1750<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT103.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Armchairs/Pictures/ARMBT103A.jpg,סלון;כורסא (ק.מ);כורסא (ת.ק),6_ARMBT103,,1750,,true,PERCENT,0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
