No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
37,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 064 ,,CHRB1,,CHRB1,CHRB1A,"חום בהיר, אפור ",בד,כורסא - CHRB1, כורסת בד ,,"רוחב- 90 ס""מ גובה- 90 ס""מ עומק- 76 ס""מ ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,0,,,,,,,,,,3.5,,,1750,17%,2048,1.75,3583,1.5,3071,,1.25,2559,,512,25.0%,,,,
38,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 441,,CHRB2,,CHRB2,CHRB2A,"אפור בהיר, אפור כהה, חרדל, כחול",בד,כורסא - CHRB2,כורסת בד מעוצבת ,,"76X74X84 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,850,17%,995,1.75,1740,1.5,1492,,1.25,1243,,249,25.0%,,,,
39,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 446 ,,CHRB3,,CHRB3,,"אפור בהיר, אפור כהה, חרדל, כחול",בד,כורסא - CHRB3,כורסת בד מעוצבת ,," 81X75X74 ס""מ ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,650,17%,761,1.75,1331,1.5,1141,,1.25,951,,190,25.0%,,,,
40,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 451 ,,CHRB4,,CHRB4,CHRB4A,"אפור בהיר, אפור כהה, צהוב, ירוק","ריפוד בד קטיפה איכותי, רגלי אלון טבעי",כורסא - CHRB4, כורסא מעוצבת ,,"78 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1000,17%,1170,1.75,2048,1.5,1755,,1.25,1463,,293,25.0%,,,,
41,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 458,,CHRB5,,CHRB5,CHRB5A,"אפור בהיר, אפור כהה, צהוב, ירוק","ריפוד בד קטיפה איכותי, רגלי אלון טבעי ",כורסא - CHRB5, כורסא מעוצבת ,,"80 ס""מ ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1200,17%,1404,1.75,2457,1.5,2106,,1.25,1755,,351,25.0%,,,,
42,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 670 ,,CHRB6,,CHRB6,,בצבע בז' בשילוב כסף,בד,כורסא - CHRB6,רגלי נירוסטה ,,"68X70X87 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
43,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 765,,CHRB7,,CHRB7,CHRB7A,"קרם, שחור",בשילוב רגלי זהב,כורסא - CHRB7,כורסת בד קטיפה,,67X88X92 ,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
44,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 767,,CHRB8,,CHRB8,CHRB8A,בז',בשילוב רגלי זהב ,כורסא - CHRB8,כורסת בד ,," 76X80X74 ס""מ ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
45,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 796,,CHRB9,,CHRB9,"CHRB9A, CHRB9B"," אפור, שחור, ירוק",ריפוד בד קטיפה איכותי ,כורסא - CHRB9,כורסא מעוצבת ,,"86X97X105 ס""מ ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
46,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 871 ,,CHRB10,,CHRB10,CHRB10A,"אפור,חום בהיר, חרדל, טורקיז, ירוק, כחול",בד,כורסא - CHRB10, כורסת בד ,," 73X91X80 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1250,17%,1463,1.75,2559,1.5,2194,,1.25,1828,,366,25.0%,,,,
47,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 1017 ,,CHRB11,,CHRB11,CHRB11A," בז', אפור בהיר, אפור כהה",בד,כורסא - CHRB11,כורסת בד מעוצבת,,"רוחב- 79 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1200,17%,1404,1.75,2457,1.5,2106,,1.25,1755,,351,25.0%,,,,
48,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 1093,,CHRB12,,CHRB12,CHRB12A,"אפור כהה, אפור בהיר, בז'",ריפוד בד בשילוב רגלי ברזל ,כורסא - CHRB12, כורסת מעוצבת ,,"רוחב- 90 ס""מ גובה-91 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1400,17%,1638,1.75,2867,1.5,2457,,1.25,2048,,410,25.0%,,,,
49,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 1093 ,,CHRB13,,CHRB13,CHRB13A,"ויסקי, כחול, מנטה, לבן, שחור",ריפוד עור מלא בשילוב רגלי ברזל ,כורסא - CHRB13,כורסת מעוצבת ,," רוחב- 90 ס""מ גובה-91 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,2000,17%,2340,1.75,4095,1.5,3510,,1.25,2925,,585,25.0%,,,,
50,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 1118 ,,CHRB14,,CHRB14,,"אפור בהיר, אפור כהה, צהוב",ריפוד בד איכותי ,כורסא - CHRB14,כורסא מעוצבת ,,"87X95X94 ס""מ ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1400,17%,1638,1.75,2867,1.5,2457,,1.25,2048,,410,25.0%,,,,
51,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 1182 ,,CHRB15,,CHRB15,CHRB15A," אפור בהיר, אפור כהה, בז'",ריפוד בד איכותי ,כורסא - CHRB15, כורסא מעוצבת,," 82X90X73 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1400,17%,1638,1.75,2867,1.5,2457,,1.25,2048,,410,25.0%,,,,
52,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 1218,,CHRB16,,CHRB16,CHRB16A,"אפור בהיר, אפור כהה, כחול", ריפוד בד קטיפה איכותי ,כורסא - CHRB16, כורסא מעוצבת,,"82X92X81 ס""מ ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
53,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 1411 ,,CHRB17,,CHRB17,CHRB17A," אפור בהיר, אפור כהה, ורוד עתיק",ריפוד בד קטיפה איכותי ,כורסא - CHRB17,כורסא מעוצבת,,"83X82X74 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
54,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 8776 ,,CHRB18,,CHRB18,CHRB18A,"בז',  שחור, חום מבריק, חום, קרם, אפור כהה, אפור בהיר",עור,כורסא - CHRB18,כורסת עור,," א-117, ע-96, ג-90 ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1450,17%,1697,1.75,2969,1.5,2545,,1.25,2121,,424,25.0%,,,,
55,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 8789 ,,CHRB19,,CHRB19,CHRB19A,,עור,כורסא - CHRB19,כורסת עור,,רוחב- 100 ,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1300,17%,1521,1.75,2662,1.5,2282,,1.25,1901,,380,25.0%,,,,
56,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 816 ,,CHRB20,,CHRB20,,"בז', אפור, חום סמבה",ריפוד בד,כורסא - CHRB20,"כורסת טלויזיה מתנדנדת, בשילוב ריקליינר חשמלי, כורסת הרמה",,"81X89X107 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
57,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 882,,CHRB21,,CHRB21,,"אפור כהה, חום אדמדם",ריפוד בד ,כורסא - CHRB21,"כורסת טלויזיה מתנדנדת ומסתובבת, בשילוב ריקליינר נשלף",,"84X97X107 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
58,ריהוט,פינת ישיבה,כורסא,,כורסא,סלון,,,ROBINS,RB,,,,,,דגם 883,,CHRB22,,CHRB22,,"אפור כהה, אפור בהיר, חום",ריפוד בד,כורסא - CHRB22,"כורסת טלויזיה מתנדנדת ומסתובבת, בשילוב ריקליינר נשלף",,"84X98X107 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.75,0,1.5,0,,1.25,0,,0,#DIV/0!,,,,
