No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-80DKD-WH,,CLBEG1,1,CLBEG1,"CLBEG1A, CLBEG1B",לבן,כיור חרס,ארון אמבטיה - CLBEG1,סוהו דלתות 80 לבן KD,,80x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"3,290",60%,1316,17%,1540,2,3079,1.7,2618,17890,1.25,1925,,385,25.0%,,,,
2,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-80DKD-WH,,CLBEG1,2,CLBEG1,"CLBEG1A, CLBEG1B",לבן,כיור זכוכית שקוף לבן,ארון אמבטיה - CLBEG1,סוהו דלתות 80 לבן KD,,80x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"4,040",60%,1616,17%,1891,2,3781,1.7,3214,17890,1.25,2363,,473,25.0%,,,,
3,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-80DKD-WH,,CLBEG1,3,CLBEG1,"CLBEG1A, CLBEG1B",לבן,כיור אבונייט,ארון אמבטיה - CLBEG1,סוהו דלתות 80 לבן KD,,80x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"4,990",60%,1996,17%,2335,2,4671,1.7,3970,17890,1.25,2919,,584,25.0%,,,,
4,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-80DKD-BL/GR/GN,,CLBEG2,1,CLBEG1,"CLBEG1A, CLBEG1B","תכלת, פיסטוק, גריג",כיור חרס,ארון אמבטיה - CLBEG2,סוהו דלתות 80 תכלת KD,,80x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"3,490",60%,1396,17%,1633,2,3267,1.7,2777,17890,1.25,2042,,408,25.0%,,,,
5,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-80DKD-BL/GR/GN,,CLBEG2,2,CLBEG1,"CLBEG1A, CLBEG1B","תכלת, פיסטוק, גריג",כיור זכוכית שקוף לבן,ארון אמבטיה - CLBEG2,סוהו דלתות 80 תכלת KD,,80x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"4,240",60%,1696,17%,1984,2,3969,1.7,3373,17890,1.25,2480,,496,25.0%,,,,
6,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-80DKD-BL/GR/GN,,CLBEG2,3,CLBEG1,"CLBEG1A, CLBEG1B","תכלת, פיסטוק, גריג",כיור אבונייט,ארון אמבטיה - CLBEG2,סוהו דלתות 80 תכלת KD,,80x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"5,190",60%,2076,17%,2429,2,4858,1.7,4129,17890,1.25,3036,,607,25.0%,,,,
7,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-100DKD-WH,,CLBEG3,1,CLBEG1,"CLBEG1A, CLBEG1B",לבן,כיור חרס,ארון אמבטיה - CLBEG3,סוהו דלתות 100 לבן KD,,100x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"3,700",60%,1480,17%,1732,2,3463,1.7,2944,17890,1.25,2165,,433,25.0%,,,,
8,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-100DKD-WH,,CLBEG3,2,CLBEG1,"CLBEG1A, CLBEG1B",לבן,כיור זכוכית שקוף לבן,ארון אמבטיה - CLBEG3,סוהו דלתות 100 לבן KD,,100x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"4,675",60%,1870,17%,2188,2,4376,1.7,3719,17890,1.25,2735,,547,25.0%,,,,
9,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-100DKD-WH,,CLBEG3,3,CLBEG1,"CLBEG1A, CLBEG1B",לבן,כיור אבונייט,ארון אמבטיה - CLBEG3,סוהו דלתות 100 לבן KD,,100x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"6,000",60%,2400,17%,2808,2,5616,1.7,4774,17890,1.25,3510,,702,25.0%,,,,
10,סניטריה,ארונות אמבטיה,ארון אמבטיה,,,מקלחות וחדרי שירותים,ברזים,,EL-GAL,EG,,,,,254,RETRO-100DKD-BL/GN/GR,,CLBEG4,1,CLBEG1,"CLBEG1A, CLBEG1B",תכלת / פיסטוק / גריג,כיור חרס,ארון אמבטיה - CLBEG4,סוהו דלתות 100 תכלת KD,,100x46x88cm,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"3,900",60%,1560,17%,1825,2,3650,1.7,3103,17890,1.25,2282,,456,25.0%,,,,
