No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,12122 וולווט,,BDRB1,,BDRB1,,"בז', אפור כהה",ריפוד בד קטיפה,מיטה - BDRB1,מיטה זוגית,,"מידות: 160X190 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,2200,17%,2574,2,5148,1.5,3861,,1.3,3346,,772,30.0%,,,,
2,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,12122 וולווט,,BDRB1,,BDRB1,,"בז', אפור כהה",ריפוד בד קטיפה,מיטה - BDRB1,מיטה זוגית,,"מידות: 160X200 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,2200,17%,2574,2,5148,1.5,3861,,1.3,3346,,772,30.0%,,,,
3,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,12118 ג'וליה,,BDRB2,,BDRB2,,"בז', אפור כהה",ריפוד בד,מיטה - BDRB2,מיטה זוגית,,"מידות: 160X190 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,2200,17%,2574,2,5148,1.5,3861,,1.3,3346,,772,30.0%,,,,
4,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,12118 ג'וליה,,BDRB2,,BDRB2,,"בז', אפור כהה",ריפוד בד,מיטה - BDRB2,מיטה זוגית,,"מידות: 160X200 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,2200,17%,2574,2,5148,1.5,3861,,1.3,3346,,772,30.0%,,,,
5,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,B591 ג'וזפין,,BDRB3,,BDRB3,,"בז', אפור כהה, אפור בהיר",ריפוד בד,מיטה - BDRB3,מיטה זוגית,,"מידות: 160X200 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,2500,17%,2925,2,5850,1.5,4388,,1.3,3803,,878,30.0%,,,,
6,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,B591 ג'וזפין,,BDRB3,,BDRB3,,"בז', אפור כהה, אפור בהיר",ריפוד בד,מיטה - BDRB3,מיטה זוגית,,"מידות: 180X200 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,2500,17%,2925,2,5850,1.5,4388,,1.3,3803,,878,30.0%,,,,
7,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,8035 שרלוט,,BDRB4,,BDRB4,,"בז', אפור בהיר, אפור כהה",ריפוד בד,מיטה - BDRB4,מיטה זוגית,,"מידות: 140X190 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1700,17%,1989,2,3978,1.5,2984,,1.3,2586,,597,30.0%,,,,
8,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,8035 שרלוט,,BDRB4,,BDRB4,,"בז', אפור בהיר, אפור כהה",ריפוד בד,מיטה - BDRB4,מיטה זוגית,,"מידות: 160X190 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1870,17%,2188,2,4376,1.5,3282,,1.3,2844,,656,30.0%,,,,
9,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,8035 שרלוט,,BDRB4,,BDRB4,,"בז', אפור בהיר, אפור כהה",ריפוד בד,מיטה - BDRB4,מיטה זוגית,,"מידות: 160X200 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1870,17%,2188,2,4376,1.5,3282,,1.3,2844,,656,30.0%,,,,
10,חדרי שינה,מיטה,זוגי,,,חדרי שינה,שידות,,ROBINS,RB,,,ROYALTY,,,350 אינגריד,,BDRB5,,BDRB5,,"אופווייט, אפור, אפור כהה",ריפוד בד,מיטה - BDRB5,מיטה זוגית,,"מידות: 120X190 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,1900,17%,2223,2,4446,1.5,3335,,1.3,2890,,667,30.0%,,,,
