handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1
c4a2f98b-c947-4f15-8640-ea8f48c15bd7,Product,מיטה - BDAD6,"<p><b>אפשרות 1:</b></p>Description: Uplostery material (leather/PVC/PU/fabric) + foam + solid wood + MDF + Plywood + Standard wooden slat<br>Size: Mattress size: 160*200cm
 Height of headboard: 127cm<br>Materials: Full fabric<br>Price: 4095<br><p><b>אפשרות 2:</b></p>Description: Uplostery material (leather/PVC/PU/fabric) + foam + solid wood + MDF + Plywood + Standard wooden slat<br>Size: Mattress size: 140*200cm
 Height of headboard: 127cm<br>Materials: Full fabric<br>Price: 4064<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDAD6.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDAD6A.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם),BDAD6_BDAD6,,4095,,true,PERCENT,0,InStock,,אפשרויות,DROP_DOWN,BDAD6_BDAD6_1;BDAD6_BDAD6_2,,,,,,,,,,,,,,,,,,,,,,,,
c4a2f98b-c947-4f15-8640-ea8f48c15bd7,Variant,מיטה - BDAD6,"Description: Uplostery material (leather/PVC/PU/fabric) + foam + solid wood + MDF + Plywood + Standard wooden slat<br>Size: Mattress size: 160*200cm
 Height of headboard: 127cm<br>Materials: Full fabric<br>Price: 4095<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDAD6.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDAD6A.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם),BDAD6_BDAD6_1,,,0,true,PERCENT,0,InStock,,,,BDAD6_BDAD6_1,,,,,,,,,,,,,,,,,,,,,,,,
c4a2f98b-c947-4f15-8640-ea8f48c15bd7,Variant,מיטה - BDAD6,"Description: Uplostery material (leather/PVC/PU/fabric) + foam + solid wood + MDF + Plywood + Standard wooden slat<br>Size: Mattress size: 140*200cm
 Height of headboard: 127cm<br>Materials: Full fabric<br>Price: 4064<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDAD6.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDAD6A.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם),BDAD6_BDAD6_2,,,-31,true,PERCENT,0,InStock,,,,BDAD6_BDAD6_2,,,,,,,,,,,,,,,,,,,,,,,,
5fd75bd9-c2d9-48ba-91e8-39c1c66d4da0,Product,מיטה - BDRB1,"<p><b>אפשרות 1:</b></p>Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X190 ס""מ<br>Materials: ריפוד בד קטיפה<br>Color: בז', אפור כהה<br>Price: 3346<br><p><b>אפשרות 2:</b></p>Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X200 ס""מ<br>Materials: ריפוד בד קטיפה<br>Color: בז', אפור כהה<br>Price: 3346<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDRB1.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם);ROYALTY (מודל),1_BDRB1,,3346,,true,PERCENT,0,InStock,,אפשרויות,DROP_DOWN,1_BDRB1_1;1_BDRB1_2,,,,,,,,,,,,,,,,,,,,,,,,
5fd75bd9-c2d9-48ba-91e8-39c1c66d4da0,Variant,מיטה - BDRB1,"Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X190 ס""מ<br>Materials: ריפוד בד קטיפה<br>Color: בז', אפור כהה<br>Price: 3346<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDRB1.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם);ROYALTY (מודל),1_BDRB1_1,,,0,true,PERCENT,0,InStock,,צבע,DROP_DOWN,1_BDRB1_1,,,,,,,,,,,,,,,,,,,,,,,,
5fd75bd9-c2d9-48ba-91e8-39c1c66d4da0,Variant,מיטה - BDRB1,"Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X200 ס""מ<br>Materials: ריפוד בד קטיפה<br>Color: בז', אפור כהה<br>Price: 3346<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDRB1.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם);ROYALTY (מודל),1_BDRB1_2,,,0,true,PERCENT,0,InStock,,צבע,DROP_DOWN,1_BDRB1_2,,,,,,,,,,,,,,,,,,,,,,,,
ad06a123-cb26-4458-ac58-b9a1cd88a656,Product,מיטה - BDRB2,"<p><b>אפשרות 1:</b></p>Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X190 ס""מ<br>Materials: ריפוד בד<br>Color: בז', אפור כהה<br>Price: 3346<br><p><b>אפשרות 2:</b></p>Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X200 ס""מ<br>Materials: ריפוד בד<br>Color: בז', אפור כהה<br>Price: 3346<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDRB2.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם);ROYALTY (מודל),2_BDRB2,,3346,,true,PERCENT,0,InStock,,אפשרויות,DROP_DOWN,2_BDRB2_1;2_BDRB2_2,,,,,,,,,,,,,,,,,,,,,,,,
ad06a123-cb26-4458-ac58-b9a1cd88a656,Variant,מיטה - BDRB2,"Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X190 ס""מ<br>Materials: ריפוד בד<br>Color: בז', אפור כהה<br>Price: 3346<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDRB2.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם);ROYALTY (מודל),2_BDRB2_1,,,0,true,PERCENT,0,InStock,,צבע,DROP_DOWN,2_BDRB2_1,,,,,,,,,,,,,,,,,,,,,,,,
ad06a123-cb26-4458-ac58-b9a1cd88a656,Variant,מיטה - BDRB2,"Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X200 ס""מ<br>Materials: ריפוד בד<br>Color: בז', אפור כהה<br>Price: 3346<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDRB2.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם);ROYALTY (מודל),2_BDRB2_2,,,0,true,PERCENT,0,InStock,,צבע,DROP_DOWN,2_BDRB2_2,,,,,,,,,,,,,,,,,,,,,,,,
58b9cc70-dc82-4d36-98b6-2f0aedb0e07d,Product,מיטה - BDRB3,"<p><b>אפשרות 1:</b></p>Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 160X200 ס""מ<br>Materials: ריפוד בד<br>Color: בז', אפור כהה, אפור בהיר<br>Price: 3803<br><p><b>אפשרות 2:</b></p>Model: ROYALTY<br>Description: מיטה זוגית<br>Size: מידות: 180X200 ס""מ<br>Materials: ריפוד בד<br>Color: בז', אפור כהה, אפור בהיר<br>Price: 3803<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Beds/Pictures/BDRB3.jpg,חדרי שינה;מיטה (ק.מ);זוגי (ת.ק);חדרי שינה (מתחם);ROYALTY (מודל),3_BDRB3,,3803,,true,PERCENT,0,InStock,,אפשרויות,DROP_DOWN,3_BDRB3_1;3_BDRB3_2,,,,,,,,,,,,,,,,,,,,,,,,
