I HOME ITEM NUMBER,MAIN PICTURE,OTHER PICTURES,COLORS,MATERIAL,PRODUCT NAME,Descreption,Size,Cost,price shekel,price -10%,Price
Chair F2-1,4_Chair_1A_SH,4_Chair_1B_SH,"WHITE,BLACK,RED,BLUE,GREEN,YELLOW,ORANGE",PP,CHAIR F2-1,"Chair, Structure Full PP",(L)56*(W)41*(H)79.5 cm Seat High: 45 cm,$18.33 ,? 160,? 144,$45.83 
Chair F2-2,4_Chair_2A_SH,4_Chair_2B_SH,"WHITE,BLACK,RED,GREEN,BLUE, YELLOW,GREY,ORANGE",PP,CHAIR F2-2,"Chair, Structure Full PP",(L)51*(W)44*(H)80 cm Seat High: 44 cm,$18.33 ,? 160,? 144,$45.83 
Chair F2-3,4_Chair_3A_SH,4_Chair_3B_SH 4_Chair_3C_SH 4_Chair_3D_SH 4_Chair_3E_SH 4_Chair_3F_SH 4_Chair_3G_SH 4_Chair_3H_SH 4_Chair_3I_SH 4_Chair_3J_SH 4_Chair_3K_SH 4_Chair_3L_SH 4_Chair_3M_SH 4_Chair_3N_SH 4_Chair_3O_SH 4_Chair_3P_SH,"WHITE,BLACK,RED,GREEN,BLUE, YELLOW,GREY,ORANGE",PP,CHAIR F2-3,"Chair, Structure Full PP",(L)56*(W)54*(H)83 cm Seat High: 48 cm,$17.50 ,? 153,? 138,$43.75 
Chair F2-4,4_Chair_4A_SH,4_Chair_4B_SH,"WHITE,BLACK,RED,GREEN,BLUE, YELLOW,GREY,ORANGE",PP,CHAIR F2-4,"Chair, Structure Full PP",(L)50*(W)53.5*(H)82 cm Seat High: 48 cm,$19.00 ,? 166,? 150,$47.50 
Chair F2-5,4_Chair_5A_SH,4_Chair_5B_SH,,"PP,FABRIC,WOOD,METAL",CHAIR F2-5,"Chair, Structure Seat in PP cover with Fabric, Legs in Metal and Wood",/,$-,? 0,? 0,$-
Chair F2-6,4_Chair_6_A_SH,4_Chair_6_B_SH 4_Chair_6_C_SH 4_Chair_6_D_SH,"SEAT:BLACK,WHITE PILLOW:WHITE,BLACK,RED","PP,PU,WOOD",CHAIR F2-6,"Chair, Structure Seat in PP Pillow with PU, Legs in Wood",(L)55*(W)49*(H)83 cm Seat High: 51 cm,$25.00 ,? 219,? 197,$62.50 
Chair F2-7,4_Chair_7A_SH,4_Chair_7B_SH 4_Chair_7C_SH 4_Chair_7D_SH 4_Chair_7E_SH 4_Chair_7F_SH,"WHITE,BLACK,RED,BLUE,GREEN,YELLOW,ORANGE",PP,CHAIR F2-7,"Chair, Structure Full PP",(L)53.5*(W)43*(H)89 cm Seat High: 48 cm,$18.50 ,? 162,? 146,$46.25 
Chair F2-8,4_Chair_8A_SH,4_Chair_8B_SH,"WHITE,BLACK,RED,GREEN,BLUE, YELLOW,ORANGE","PP,WOOD,METAL",CHAIR F2-8,"Chair, Structure Seat in PP , Legs in Wood & Metal",(L)50*(W)56.5*(H)75 cm Seat High: 45 cm,$17.50 ,? 153,? 138,$43.75 
Chair F2-9,4_Chair_9_SH,/,"WHITE,BLACK,RED,GREEN,BLUE, YELLOW,ORANGE","PP,METAL",CHAIR F2-9,"Chair, Structure Seat in PP , Legs in Metal",(L)50*(W)56.5*(H)75 cm Seat High: 46 cm,$17.50 ,? 153,? 138,$43.75 
Chair F2-10,4_Chair_10A_SH,4_Chair_10B_SH,"WHITE,BLACK,RED,GREEN,BLUE, YELLOW,GREY,ORANGE,CLEAR,SMOKE GREY,CLEAR RED",PC,CHAIR F2-10,"Chair, Structure Full ABS",(L)56*(W)52*(H)83.5 cm Seat High: 48 cm,$30.00 ,? 263,? 236,$75.00 
