handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1
65b0c043-cc06-4257-8aae-7b631e4210d9,Product,CHAIR F2-254,"Description: Chair, Structure Wood<br>Size: (L)77*(D)66*(H)107 cm Seat High: 37 cm<br>Materials: WOOD<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_254A_SW.jpg,Chairs,Chair F2-254,,1636,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,WOOD,,,,,,,,,,,,,,,,,,,,,,,,
1c147332-a68c-400d-899c-ccc9c9f2966e,Product,CHAIR F2-13,"Description: Chair, Structure Full PP<br>Size: (L)45*(W)43*(H)76.5 cm Seat High: 46 cm<br>Materials: PP<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_13A_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_13B_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_13C_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_13D_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_13E_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_13F_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_13G_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_13H_SH.jpg,Chairs,Chair F2-13,,171,,true,PERCENT,10,InStock,,צבע מושב,DROP_DOWN,WHITE;BLACK;RED;GREEN;BLUE;YELLOW;ORANGE BACK,,,,,,,,,,,,,,,,,,,,,,,,
78acef6a-c860-40f8-9a0d-bd53b8eccd52,Product,CHAIR F2-24,"Description: Chair, Structure Seat in ABS, Legs in Metal<br>Size: (L)62*(W)62*(H)83 cm Seat High: 44 cm<br>Materials: ABS,METAL<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_24A_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_24B_SH.jpg,Chairs,Chair F2-24,,219,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,CLEAR;SMOKE GREY;CLEAR RED;CLEAR ORANGE;CLEAR PINK,,,,,,,,,,,,,,,,,,,,,,,,
85d5079a-e739-4ad5-8e31-f0d6ecddad37,Product,CHAIR F2-270,"Description: Chair, Structure Wood with PU/Fabric cover<br>Size: (L)52*(D)47*(H)83 cm Seat High: 45 cm<br>Materials: WOOD,FABRIC/PU<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_270A_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_270B_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_270C_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_270D_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_270E_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_270F_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_270G_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_270H_SW.jpg,Chairs,Chair F2-270,,648,,true,PERCENT,10,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c431bc9-0e53-4bd5-899e-6a0999cdebda,Product,CHAIR F2-173,"Description: Chair, Structure Full PP<br>Size: (L)53*(D)57*(H)81 cm Seat High: 46 cm<br>Materials: PP<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_173A_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_173B_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_173C_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_173D_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_173E_SW.jpg,Chairs,Chair F2-173,,254,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,WHITE;BEIGE;LIGHT YELLOW;LIGHT GREY;LIME,,,,,,,,,,,,,,,,,,,,,,,,
24fc81d2-c3ca-4dbc-97e2-1baff54149a9,Product,CHAIR F2-232A,"Description: Chair, Structure Wood legs & PP seat with Fabric cover<br>Size: (L)65*(D)73*(H)85 cm Seat High: 45 cm<br>Materials: WOOD,PP,FABRIC<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_232AC_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_232AD_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_232AE_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_232AF_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_232AG_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_232AH_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_232AI_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_232AJ_SW.jpg,Chairs,Chair F2-232A,,648,,true,PERCENT,10,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58d3f6e9-241e-4586-9620-093dc86cb269,Product,CHAIR F2-40,"Description: Chair, Structure Seat in ABS, Legs in Metal<br>Size: (L)56*(W)61*(H)80 cm Seat High: 45 cm<br>Materials: ABS,METAL<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_40_SH.jpg,Chairs,Chair F2-40,,0,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,WHITE;BLACK;RED;BLUE;YELLOW,,,,,,,,,,,,,,,,,,,,,,,,
c4a80b30-983d-4592-b1aa-7ca674bc06f7,Product,CHAIR F2-200,"Description: Chair, Structure Full PP<br>Size: (L)50*(D)59*(H)75 cm Seat High: 40 cm<br>Materials: PP<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_200A_SW.jpg,Chairs,Chair F2-200,,236,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,WHITE;BEIGE;LIGHT YELLOW;LIGHT GREY,,,,,,,,,,,,,,,,,,,,,,,,
4309a472-ce9f-47fc-96fa-ed4e172b744c,Product,CHAIR F2-75,"Description: Chair, Structure Seat in PP , Legs in Wood<br>Materials: PP,WOOD<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_75A_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_75B_SH.jpg,Chairs,Chair F2-75,,0,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,,,,,,,,,,,,,,,,,,,,,,,,,
8ac55d9f-7884-45d9-911e-90328757582b,Product,CHAIR F2-276,"Description: Chair, Structure Wood<br>Materials: WOOD<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Chairs/Pictures/4_Chair_276A_SW.jpg,Chairs,Chair F2-276,,0,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,,,,,,,,,,,,,,,,,,,,,,,,,
