handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_48928a77-9ac5-7ecc-1ef2-5c6bdf5d1697,Product,CHAIR F2-111,"<p><b>אפשרות 1:</b></p>Description: Chair, Structure Stainless Steel (Chrome) with PU cover<br><br>Size: (L)56*(W)57*(H)88 cm<br><br>Materials: STAINLESS STEEL,PU<br><br><br><p><b>אפשרות 2:</b></p>Description: Chair, Structure Stainless Steel (Chrome) with Leather &amp; PU cover<br><br>Size: (L)56*(W)57*(H)88 cm<br><br>Materials: STAINLESS STEEL,PU,LEATHER<br><br><br><p><b>אפשרות 3:</b></p>Description: Chair, Structure Stainless Steel (Chrome) with Leather cover<br><br>Size: (L)56*(W)57*(H)88 cm<br><br>Materials: STAINLESS STEEL,LEATHER<br><br><br><p><b>אפשרות 4:</b></p>Description: Chair, Structure Stainless Steel (Chrome) with Italian Leather &amp; PU cover<br><br>Size: (L)56*(W)57*(H)88 cm<br><br>Materials: STAINLESS STEEL,PU,ITALIAN LEATHER<br><br><br><p><b>אפשרות 5:</b></p>Description: Chair, Structure Stainless Steel (Chrome) with Italian Leather cover<br><br>Size: (L)56*(W)57*(H)88 cm<br><br>Materials: STAINLESS STEEL,ITALIAN LEATHER<br><br>",,כסאות,F2-111,,772,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,אפשרות 1;אפשרות 2;אפשרות 3;אפשרות 4;אפשרות 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_48928a77-9ac5-7ecc-1ef2-5c6bdf5d1697,Variant,,,,,F2-111_3,,,260,TRUE,,,InStock,0,,,אפשרות 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_48928a77-9ac5-7ecc-1ef2-5c6bdf5d1697,Variant,,,,,F2-111_4,,,457,TRUE,,,InStock,0,,,אפשרות 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_48928a77-9ac5-7ecc-1ef2-5c6bdf5d1697,Variant,,,,,F2-111_0,,,0,TRUE,,,InStock,0,,,אפשרות 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_48928a77-9ac5-7ecc-1ef2-5c6bdf5d1697,Variant,,,,,F2-111_1,,,220,TRUE,,,InStock,0,,,אפשרות 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_48928a77-9ac5-7ecc-1ef2-5c6bdf5d1697,Variant,,,,,F2-111_2,,,394,TRUE,,,InStock,0,,,אפשרות 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a24d4aa3-f7fb-390b-0d92-a809acbe8e30,Product,CHAIR F2-200,"Description: Chair, Structure Full PP
<br>Size: (L)50*(D)59*(H)75 cm Seat High: 40 cm
<br>Materials: PP
<br>",,כסאות,F2-200,,213,,TRUE,PERCENT,0,InStock,0,צבע,DROP_DOWN,WHITE;BEIGE;LIGHT YELLOW;LIGHT GREY,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83d3b3c2-0378-e40a-8349-2de96084e73f,Product,CHAIR F2-154,"Description: Chair, Structure Full PP with Metal legs
<br>Size: (L)50*(D)56*(H)82 cm Seat High: 45 cm
<br>Materials: METAL,PP
<br>",,כסאות,F2-155,,0,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_787e1755-148e-5da7-9012-95bda1ef76b1,Product,CHAIR F2-90,"Description: Chair, Structure Ash Wood with PU pillow seat
<br>Size: (L)49*(W)57*(H)72 cm Seat High: 46 cm
<br>Materials: WOOD,PU
<br>",,כסאות,F2-90,,551,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4ff1f251-52f3-2137-b165-6079321860f6,Product,CHAIR F2-228C,"Description: Chair, Structure PC with Fabric cover
<br>Size: (L)50*(D)47*(H)76 cm Seat High: 44 cm
<br>Materials: PC,FABRIC
<br>",,כסאות,F2-228C,,543,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8dcaee8f-74ec-07e2-c323-d521c1f71500,Product,CHAIR F2-51,"Description: Chair, Structure Seat in PP cover with Fabric, Legs in Metal and Wood
<br>Size: (L)55*(W)47*(H)82 cm Seat High: 44 cm
<br>Materials: PP,FABRIC,METAL,WOOD
<br>",,כסאות,F2-51,,0,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_701bd800-5324-f0ea-c572-69ffcb890a2f,Product,CHAIR F2-214,"Description: Chair, Structure Metal with ABS seat
<br>Size: (L)52*(D)56*(H)81 cm Seat High: 45 cm
<br>Materials: METAL,ABS
<br>",,כסאות,F2-214,,425,,TRUE,PERCENT,0,InStock,0,צבע,DROP_DOWN,WHITE FRONT+WHITE;RED;GREEN;ORANGE;BLACK;WHITE;YELLOW BACK,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_70c3754a-ee0c-5039-b6df-39de0afe3d4d,Product,CHAIR F2-354,"Description: Chair, Structure Full PP
<br>Materials: PP
<br>",,כסאות,F2-354,,0,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e1cb396b-addf-ff4d-c755-7bc2e9f0f7f7,Product,CHAIR F2-237,"Description: Chair, Structure Metal &amp; PP with Fabric cover
<br>Size: (L)62*(D)60*(H)83 cm
<br>Materials: METAL,PP,FABRIC
<br>",,כסאות,F2-237,,567,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4cf0af6f-6d3f-3460-0ee1-e38099e3ff19,Product,CHAIR F2-22,"Description: Chair, Structure Seat in ABS, Legs in Metal
<br>Size: (L)55*(W)47*(H)82 cm Seat High: 44 cm
<br>Materials: ABS,METAL
<br>",,כסאות,F2-22,,190,,TRUE,PERCENT,0,InStock,0,צבע,DROP_DOWN,CLEAR;SMOKE GREY;CLEAR RED;CLEAR ORANGE;CLEAR PINK,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_04ca36c0-c0c8-5b3c-84f9-558a3113ad77,Product,CHAIR F2-228A,"Description: Chair, Structure PC with Fabric cover
<br>Size: (L)50*(D)47*(H)76 cm Seat High: 44 cm
<br>Materials: PC,FABRIC
<br>",,כסאות,F2-228A,,543,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3a016372-1a72-254a-c4bf-9f75dcbe9710,Product,CHAIR F2-138,"Description: Chair, Structure Wood &amp; Walnut legs with PU cover
<br>Size: (L)44*(D)44*(H)76 cm Seat High: 43 cm
<br>Materials: WOOD,PU
<br>",,כסאות,F2-138,,441,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_dc985e0a-945b-e38b-b9f4-c0e32a134278,Product,CHAIR F2-123,"Description: Chair, StructureStainless Steel (BLACK) with PU cover
<br>Size: (L)82*(W)64*(H)75 cm
<br>Materials: STAINLESS STEEL(BLACK),PU
<br>",,כסאות,F2-123,,1567,,TRUE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d051e71-d8d6-8f49-0778-e04d8cdfce48,Product,CHAIR F2-301,"Description: Chair, Structure Full PC with Fabric Pillow
<br>Size: (L)48*(D)41*(H)81 cm Seat High: 46 cm
<br>Materials: PC,FABRIC
<br>",,כסאות,F2-301,,425,,TRUE,PERCENT,0,InStock,0,צבע,DROP_DOWN,CLEAR;SMOKE GREY,,,,,,,,,,,,,,,,,,,,,,,,,,,
