No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 75197 ארט​,,CHRB1,,CHRB1,CHRB1A,"אפור, אופוויט",אלון פראי בשילוב ריפוד בד,כסאות לפינת אוכל - CHRB1,כיסא לפינת אוכל,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,0,,,,,,,,,,3.5,,,0,17%,0,1.75,0,1.5,0,,1.3,0,,0,#DIV/0!,,,,
2,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 101 Glenis ,,CHRB2,,CHRB2,CHRB1A,,דמוי עור בשילוב אלון,כסאות לפינת אוכל - CHRB2,כיסא לפינת אוכל ,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,280,17%,328,1.75,573,1.5,491,,1.3,426,,98,30.0%,,,,
3,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 201,,CHRB3,,CHRB3,"CHRB3A, CHRB3B, CHRB3C, CHRB3D","בז', אפור, חום בהיר",ריפוד בד בשילוב אלון,כסאות לפינת אוכל - CHRB3,כיסא לפינת אוכל ,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,450,17%,527,1.75,921,1.5,790,,1.3,684,,158,30.0%,,,,
4,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 501,,CHRB4,,CHRB4,"CHRB4A, CHRB4B","בז', אפור, חום בהיר",ריפוד בד בשילוב אלון ,כסאות לפינת אוכל - CHRB4,כיסא לפינת אוכל ,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,450,17%,527,1.75,921,1.5,790,,1.3,684,,158,30.0%,,,,
5,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 1229 ,,CHRB5,,CHRB5,"CHRB5A, CHRB5B"," בז', אפור בהיר, אפור כהה",בד עם רגלי אלון ,כסאות לפינת אוכל - CHRB5,כיסא מרופד לפינת אוכל,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,420,17%,491,1.75,860,1.5,737,,1.3,639,,147,30.0%,,,,
6,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 1231 ,,CHRB6,,CHRB6,"CHRB6A, CHRB6B","בז', אפור בהיר, אפור כהה","בד עם רגלי אלון, רגליים שחורות",כסאות לפינת אוכל - CHRB6,כיסא מרופד לפינת אוכל ,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,550,17%,644,1.75,1126,1.5,965,,1.3,837,,193,30.0%,,,,
7,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 1317,,CHRB7,,CHRB7,CHRB7A,"בז', אפור בהיר, אפור כהה",בד עם רגלי מתכת,כסאות לפינת אוכל - CHRB7,כיסא מרופד לפינת אוכל,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,450,17%,527,1.75,921,1.5,790,,1.3,684,,158,30.0%,,,,
8,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 1373,,CHRB8,,CHRB8,"CHRB8A, CHRB8B","בז', אפור בהיר, אפור כהה",ריפוד בד עם רגלי מתכת,כסאות לפינת אוכל - CHRB8,כיסא מרופד לפינת אוכל ,,"רוחב- 51 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,500,17%,585,1.75,1024,1.5,878,,1.3,761,,176,30.0%,,,,
9,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 2040 אוסקר,,CHRB9,,CHRB9,CHRB9A,"בז', אפור כהה",ריפוד דמוי עור בשילוב אלון,כסאות לפינת אוכל - CHRB9,כיסא לפינת אוכל ,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,430,17%,503,1.75,880,1.5,755,,1.3,654,,151,30.0%,,,,
10,ריהוט,פינת אוכל,כסאות,,כסאות לפינת אוכל,פינת אוכל,,,ROBINS,RB,,,,,,דגם 7500 פיאנו,,CHRB10,,CHRB10,"CHRB10A, CHRB10B",שמנת,דמוי עור עם עץ אלון ,כסאות לפינת אוכל - CHRB10,כיסא לפינת אוכל,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,380,17%,445,1.75,778,1.5,667,,1.3,578,,133,30.0%,,,,
