No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,פינות אוכל,DINING TABLES,,,,,,,STEEL-ARTS,SA,,,,,4,B6000/DINING TABLE,S-SDTSA1,SDTSA1,1,SDTSA1,SDTSA1A,,"ORIGINAL SOLID WOOD, COATED IRON BASE",DINING TABLES - SDTSA1,,,L2000*D850*H760,0.27/MOQ:10PCS,,,,,,,,60 ימי עבודה בכפוף להבהרות,,719,1.5,,,,,,,,1078.5,3.5,,,2517,17%,2944,2.5,7361,,,,2.2,6477,,3533,54.5%,,,,
2,פינות אוכל,DINING TABLES,,,,,,,STEEL-ARTS,SA,,,,,4,B6000/DINING TABLE,S-SDTSA1,SDTSA1,2,SDTSA1,SDTSA1A,,"ORIGINAL SOLID WOOD, COATED IRON BASE",DINING TABLES - SDTSA1,,,L2400*D1100*H760,0.27/MOQ:10PCS,,,,,,,,,,951,1.5,,,,,,,,1426.5,3.5,,,3329,17%,3894,2.5,9736,,,,2.2,8568,,4673,54.5%,,,,
3,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,4,C6000/DINING CHAIR,S-SDTSA1,SDTSA2,,SDTSA1,SDTSA1A,,SOLID WOOD,DINING CHAIR - SDTSA2,,,450*450*820MM,,,,,,,,,,,166,1.5,,,,,,,,249,3.5,,,581,17%,680,2.5,1699,,,,2.2,1495,,816,54.5%,,,,
4,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,4,K6000/SIDEBOARD,S-SDTSA1,SDTSA3,,SDTSA1,SDTSA1A,,SOLID WOOD,SIDEBOARD - SDTSA3,,,105*55*115,0.79,,,,,,,,,,582,1.5,,,,,,,,873,3.5,,,2037,17%,2383,2.5,5958,,,,2.2,5243,,2860,54.5%,,,,
5,פינות אוכל,DINING TABLES,,,,,,,STEEL-ARTS,SA,,,,,5,B6803/DINING TABLE,S-SDTSA4,SDTSA4,,SDTSA4,,,"12MM TEMPERED GLASS, SOLID WOOD BASE",DINING TABLES - SDTSA4,,,2600*1100*760MM,1.27,,,,,,,,,,1131,1.5,,,,,,,,1696.5,3.5,,,3959,17%,4631,2.5,11579,,,,2.2,10189,,5558,54.5%,,,,
6,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,5,C4800/DINING CHAIR,S-SDTSA4,SDTSA5,,SDTSA4,,,"PU, WOOD",DINING CHAIR - SDTSA5,,,L500D590H490/870MM,0.362/MOQ:100PCS,,,,,,,,,,69.5,1.5,,,,,,,,104.25,3.5,,,243,17%,285,2.5,712,,,,2.2,626,,342,54.5%,,,,
7,פינות אוכל,DINING TABLE,,,,,,,STEEL-ARTS,SA,,,,,5,B6804/DINING TABLE,S-SDTSA7,SDTSA7,,SDTSA7,,,"TEMPERED GLASS, WALNUT SOLID WOOD",DINING TABLE - SDTSA7,,,1200*1200*760MM,0.6,,,,,,,,,,596,1.5,,,,,,,,894,3.5,,,2086,17%,2441,2.5,6102,,,,2.2,5369,,2929,54.5%,,,,
8,פינות אוכל,DINING CHAIR,,,,,,,STEEL-ARTS,SA,,,,,5,C4800/DINING CHAIR,S-SDTSA7,SDTSA8,,SDTSA7,,,"PU, WOOD",DINING CHAIR - SDTSA8,,,L500D590H490/870MM,0.362/MOQ:100PCS,,,,,,,,,,69,1.5,,,,,,,,103.5,3.5,,,242,17%,283,2.5,706,,,,2.2,622,,339,54.5%,,,,
9,פינות אוכל,SIDEBOARD,,,,,,,STEEL-ARTS,SA,,,,,5,K6403/SIDEBOARD,S-SDTSA7,SDTSA9,,SDTSA7,,,"HIGH GLOSSY MDF, STAINLESS STEEL LEG",SIDEBOARD - SDTSA9,,,L1500W500H750MM,2PCS/1CTN,,,,,,,,,,300,1.5,,,,,,,,450,3.5,,,1050,17%,1229,2.5,3071,,,,2.2,2703,,1474,54.5%,,,,
10,פינות אוכל,DRESSING TABLE,,,,,,,STEEL-ARTS,SA,,,,,6,Z6803/DRESSING TABLE,S-SDTSA10,SDTSA10,,SDTSA10,,,"TEMPERED GLASS, SOLID WOOD+IRON COATING BASE",DRESSING TABLE - SDTSA10,,,1300*400*740,,,,,,,,,,,222,1.5,,,,,,,,333,3.5,,,777,17%,909,2.5,2273,,,,2.2,2000,,1091,54.5%,,,,
