No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,סניטריה,ברזים,מערכת קיר לכיור,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה,,,2080317,,TPSH1,,TPSH1,TPSH1A,ניקל CP,,מערכת קיר לכיור - TPSH1,פרנה ניקל מערכת קיר לכיור רחצה,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"1,210",60%,484,17%,566,1.6,906,1.4,793,17890,1.3,736,,170,30.0%,,,,
2,סניטריה,ברזים,אינטרפוץ 3 דרך,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה,,,2080316,,TPSH2,,TPSH2,"TPSH1A, TPSH2A",ניקל CP,,אינטרפוץ 3 דרך - TPSH2,פרנה ניקל אינטרפוץ 3 דרך,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,605,60%,242,17%,283,1.6,453,1.4,396,17890,1.3,368,,85,30.0%,,,,
3,סניטריה,ברזים,אינטרפוץ 4 דרך,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה,,,2080318,,TPSH3,,TPSH3,"TPSH1A, TPSH3A",ניקל CP,,אינטרפוץ 4 דרך - TPSH3,פרנה ניקל אינטרפוץ 4 דרך,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,935,60%,374,17%,438,1.6,700,1.4,613,17890,1.3,569,,131,30.0%,,,,
4,סניטריה,ברזים,מערכת מקלחת,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה,,,100170CP,,TPSH4,,TPSH4,TPSH4A,ניקל,,מערכת מקלחת - TPSH4,פרנה ניקל מערכת מקלחת בראס,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,1475,60%,590,17%,690,1.6,1104,1.4,966,17890,1.3,897,,207,30.0%,,,,
5,סניטריה,ברזים,מערכת מקלחת,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה,,,100170-10CP,,TPSH5,,TPSH4,"TPSH4A, TPSH5, TPSH5A",ניקל,,מערכת מקלחת - TPSH5,פרנה ניקל מערכת מקלחת בראס פרימיום +ּ ראש ומזלף וינטג’,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,2025,60%,810,17%,948,1.6,1516,1.4,1327,17890,1.3,1232,,284,30.0%,,,,
6,סניטריה,ברזים,ברז,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,20028 YB,,TPSH6,,TPSH6,TPSH1A,ברונזה,,ברז - TPSH6,פרנה ברונזה לכיור רחצה נמוך,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,1788,60%,715,17%,837,1.6,1339,1.4,1171,17890,1.3,1088,,251,30.0%,,,,
7,סניטריה,ברזים,ברז,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,2070328 YB,,TPSH7,,TPSH7,TPSH1A,ברונזה,,ברז - TPSH7,פרנה ברונזה לכיור רחצה גבוה,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,1898,60%,759,17%,888,1.6,1421,1.4,1244,17890,1.3,1155,,266,30.0%,,,,
8,סניטריה,ברזים,מערכת קיר לכיור,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,2080317-03 YB,,TPSH8,,TPSH8,TPSH1A,ברונזה,,מערכת קיר לכיור - TPSH8,פרנה ברונזה מערכת קיר לכיור רחצה,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,1738,60%,695,17%,813,1.6,1301,1.4,1139,17890,1.3,1057,,244,30.0%,,,,
9,סניטריה,ברזים,זרוע לראש מקלחת,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,2200006YB,,TPSH9,,TPSH9,,ברונזה,,זרוע לראש מקלחת - TPSH9,פרנה ברונזה זרוע לראש מקלחת,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,522,60%,209,17%,244,1.6,391,1.4,342,17890,1.3,318,,73,30.0%,,,,
10,סניטריה,ברזים,ראש מקלחת,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,01380YB,,TPSH10,,TPSH10,,ברונזה,,ראש מקלחת - TPSH10,פרנה ברונזה ראש מקלחת עגול וינטג’,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,1155,60%,462,17%,541,1.6,865,1.4,757,17890,1.3,703,,162,30.0%,,,,
11,סניטריה,ברזים,אינטרפוץ 4 דרך,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,2080318YB,,TPSH11,,TPSH11,,ברונזה,,אינטרפוץ 4 דרך - TPSH11,פרנה ברונזה אינטרפוץ 4 דרך,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,1430,60%,572,17%,669,1.6,1071,1.4,937,17890,1.3,870,,201,30.0%,,,,
12,סניטריה,ברזים,נקודת מים,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,2200238YB,,TPSH12,,TPSH12,,ברונזה,,נקודת מים - TPSH12,פרנה ברונזה נקודת מים,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,302,60%,121,17%,141,1.6,226,1.4,198,17890,1.3,184,,42,30.0%,,,,
13,סניטריה,ברזים,מזלף,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,1888YB,,TPSH13,,TPSH13,,ברונזה,,מזלף - TPSH13,פרנה ברונזה מזלף וינטג’,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,400,60%,160,17%,187,1.6,300,1.4,262,17890,1.3,243,,56,30.0%,,,,
14,סניטריה,ברזים,צינור,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,0316YB,,TPSH14,,TPSH14,,ברונזה,,צינור - TPSH14,פרנה ברונזה צינור 1.5 מ',,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,225,60%,90,17%,105,1.6,168,1.4,147,17890,1.3,137,,32,30.0%,,,,
15,סניטריה,ברזים,מזלף,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,018YB,,TPSH15,,TPSH15,,ברונזה,,מזלף - TPSH15,פרנה ברונזה מזלף,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,357,60%,143,17%,167,1.6,267,1.4,234,17890,1.3,217,,50,30.0%,,,,
16,סניטריה,ברזים,אינטרפוץ 3 דרך,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,2080316 YB,,TPSH16,,TPSH16,TPSH1A,ברונזה,,אינטרפוץ 3 דרך - TPSH16,פרנה ברונזה אינטרפוץ 3 דרך,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,852,60%,341,17%,399,1.6,638,1.4,558,17890,1.3,518,,120,30.0%,,,,
17,סניטריה,ברזים,מערכת מקלחת,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה ברונזה,,,2060103YB,,TPSH17,,TPSH17,,ברונזה,,מערכת מקלחת - TPSH17,פרנה ברונזה מערכת מקלחת בראס,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,3250,60%,1300,17%,1521,1.6,2434,1.4,2129,17890,1.3,1977,,456,30.0%,,,,
18,סניטריה,ברזים,ברז,,,מקלחות וחדרי שירותים,ארונות מקלחות,,SHIREL,,ROCH-AS,,פרנה גולד,,,2070328 ZR,,TPSH18,,TPSH18,"TPSH18A, TPSH1A",זהב,,ברז - TPSH18,פרנה גולד לכיור רחצה גבוה,,,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,1898,60%,759,17%,888,1.6,1421,1.4,1244,17890,1.3,1155,,266,30.0%,,,,
