handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1
product_13a22b16-4ee4-561a-9b9c-95e595d3ad20,Product,מערכת קיר לכיור - TPSH1,Model: פרנה<br>Description: פרנה ניקל מערכת קיר לכיור רחצה<br>Color: ניקל CP<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH1.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH1A.jpg,סניטריה;ברזים (ק.מ);מערכת קיר לכיור (ת.ק);מקלחות וחדרי שירותים (מתחם);פרנה (מודל),TPSH1,,764,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ניקל CP,,,,,,,,,,,,,,,,,,,,,,,,
product_4559dc70-b3d0-5676-2400-6b524014a731,Product,ראש מקלחת - TPSH10,Model: פרנה ברונזה<br>Description: פרנה ברונזה ראש מקלחת עגול וינטג’<br>Color: ברונזה<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH10.jpg,סניטריה;ברזים (ק.מ);ראש מקלחת (ת.ק);מקלחות וחדרי שירותים (מתחם);פרנה ברונזה (מודל),TPSH10,,730,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
product_d106a89b-ba43-c81a-d850-ae41f6fda235,Product,ברז - TPSH100,"Model: שאטו ברונזה<br>Description: שאטו ברונזה
900 גבוה<br>Color: ברונזה<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH100.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH100A.jpg,סניטריה;ברזים (ק.מ);ברז (ת.ק);מקלחות וחדרי שירותים (מתחם);שאטו ברונזה (מודל),TPSH100,,674,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
product_2000113f-529f-7d64-8598-be5be8ea6f98,Product,ברז - TPSH101,"Model: שאטו ברונזה<br>Description: שאטו ברונזה
900 גבוה<br>Color: ברונזה<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH101.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH101A.jpg,סניטריה;ברזים (ק.מ);ברז (ת.ק);מקלחות וחדרי שירותים (מתחם);שאטו ברונזה (מודל),TPSH101,,674,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
product_4ee7ad4b-9532-ebfa-260f-ea33186f4741,Product,ברז - TPSH102,"Model: שאטו ברונזה<br>Description: שאטו ברונזה
900 גבוה<br>Color: ברונזה<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH102.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH102A.jpg,סניטריה;ברזים (ק.מ);ברז (ת.ק);מקלחות וחדרי שירותים (מתחם);שאטו ברונזה (מודל),TPSH102,,674,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
product_fa1f4034-e281-88d0-8689-247654b20f81,Product,ברז - TPSH103,"Model: שאטו ברונזה<br>Description: שאטו ברונזה
900 גבוה<br>Color: ברונזה<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH103.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH103A.jpg,סניטריה;ברזים (ק.מ);ברז (ת.ק);מקלחות וחדרי שירותים (מתחם);שאטו ברונזה (מודל),TPSH103,,674,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
product_5f7fa758-46dc-698f-8eb8-b601b2eaa462,Product,אינטרפוץ 4 דרך - TPSH104,Model: שאטו ברונזה<br>Description: שאטו ברונזה אינטרפוץ 4 דרך<br>Color: ברונזה<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH104.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH104A.jpg,סניטריה;ברזים (ק.מ);אינטרפוץ 4 דרך (ת.ק);מקלחות וחדרי שירותים (מתחם);שאטו ברונזה (מודל),TPSH104,,903,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
product_7e097ee7-4688-25e1-8dde-b6c5a792b84b,Product,אינטרפוץ 3 דרך - TPSH105,Model: שאטו ברונזה<br>Description: שאטו ברונזה אינטרפוץ 3 דרך<br>Color: ברונזה<br>,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH105.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH105A.jpg,סניטריה;ברזים (ק.מ);אינטרפוץ 3 דרך (ת.ק);מקלחות וחדרי שירותים (מתחם);שאטו ברונזה (מודל),TPSH105,,538,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
product_73f4c78b-0e9e-3a3e-9caf-9ae2b347c846,Product,ברז - TPSH106,"Model: שאטו ברונזה<br>Description: שאטו ברונזה גבוה
מסתובב לכיור מונח<br>Color: ברונזה<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH106.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH106A.jpg,סניטריה;ברזים (ק.מ);ברז (ת.ק);כיור (סוג);מקלחות וחדרי שירותים (מתחם);שאטו ברונזה (מודל),TPSH106,,813,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
product_297f8b48-1384-5263-24b0-139c526d26b8,Product,סוללה לאמבטיה - TPSH107,"Model: שאטו ברונזה<br>Description: שאטו ברונזה סוללה
לאמבטיה<br>Color: ברונזה<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH107.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/Faucets/Pictures/TPSH107A.jpg,סניטריה;ברזים (ק.מ);סוללה לאמבטיה (ת.ק);מקלחות וחדרי שירותים (מתחם);שאטו ברונזה (מודל),TPSH107,,1232,,TRUE,PERCENT,0,InStock,,צבע,DROP_DOWN,ברונזה,,,,,,,,,,,,,,,,,,,,,,,,
