No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,ריהוט גן,,,,Leisure Bed,,,,Yong Ge,YG,,,,,71,WA1066F,S-GFYG236,GFYG236,1,GFYG236,"GFYG236A, GFYG236B",,1000 hours,Leisure Bed - GFYG236,Leisure Bed,,151×145×156,1.8,,,,,,,,60 ימי עבודה בכפוף להבהרות,,3760,,,,,,,,,,3.5,,,13160,17%,15397,3,46192,2.5,38493,,2.2,33874,,18477,120.0%,,,,
2,ריהוט גן,,,,Leisure Bed,,,,Yong Ge,YG,,,,,71,WA1066F,S-GFYG236,GFYG236,2,GFYG236,"GFYG236A, GFYG236B",,1500 hours,Leisure Bed - GFYG236,Leisure Bed,,151×145×156,1.8,,,,,,,,60 ימי עבודה בכפוף להבהרות,,4000,,,,,,,,,,3.5,,,14000,17%,16380,3,49140,2.5,40950,,2.2,36036,,19656,120.0%,,,,
3,ריהוט גן,,,,Leisure Bed,,,,Yong Ge,YG,,,,,71,WA1066F,S-GFYG236,GFYG236,3,GFYG236,"GFYG236A, GFYG236B",,sunbrella fabric,Leisure Bed - GFYG236,Leisure Bed,,151×145×156,1.8,,,,,,,,60 ימי עבודה בכפוף להבהרות,,4720,,,,,,,,,,3.5,,,16520,17%,19328,3,57985,2.5,48321,,2.2,42522,,23194,120.0%,,,,
4,ריהוט גן,,,,Leisure Bed,,,,Yong Ge,YG,,,,,73,WA1066,S-GFYG236,GFYG237,1,GFYG237,"GFYG236A, GFYG236B",,1000 hours,Leisure Bed - GFYG237,Leisure Bed,,150×145×68,1.6,,,,,,,,60 ימי עבודה בכפוף להבהרות,,3120,,,,,,,,,,3.5,,,10920,17%,12776,3,38329,2.5,31941,,2.2,28108,,15332,120.0%,,,,
5,ריהוט גן,,,,Leisure Bed,,,,Yong Ge,YG,,,,,73,WA1066,S-GFYG236,GFYG237,2,GFYG237,"GFYG236A, GFYG236B",,1500 hours,Leisure Bed - GFYG237,Leisure Bed,,150×145×68,1.6,,,,,,,,60 ימי עבודה בכפוף להבהרות,,3360,,,,,,,,,,3.5,,,11760,17%,13759,3,41278,2.5,34398,,2.2,30270,,16511,120.0%,,,,
6,ריהוט גן,,,,Leisure Bed,,,,Yong Ge,YG,,,,,73,WA1066,S-GFYG236,GFYG237,3,GFYG237,"GFYG236A, GFYG236B",,sunbrella fabric,Leisure Bed - GFYG237,Leisure Bed,,150×145×68,1.6,,,,,,,,60 ימי עבודה בכפוף להבהרות,,4080,,,,,,,,,,3.5,,,14280,17%,16708,3,50123,2.5,41769,,2.2,36757,,20049,120.0%,,,,
7,ריהוט גן,,,,Coffee table,,,,Yong Ge,YG,,,,,73,WA2014A,S-GFYG236,GFYG238,,GFYG237,GFYG237A,,polywood top,Coffee table - GFYG238,Coffee table,,49×36×43,0.13,,,,,,,,60 ימי עבודה בכפוף להבהרות,,287,,,,,,,,,,3.5,,,1003,17%,1174,3,3522,2.5,2935,,2.2,2583,,1409,120.0%,,,,
8,ריהוט גן,,,,Beach bed,,,,Yong Ge,YG,,,,,73,WA1067,S-GFYG239,GFYG239,1,GFYG239,GFYG239A,,1000 hours,Beach bed - GFYG239,Beach bed,,71×209×99,0.4,,,,,,,,60 ימי עבודה בכפוף להבהרות,,1707,,,,,,,,,,3.5,,,5975,17%,6990,3,20970,2.5,17475,,2.2,15378,,8388,120.0%,,,,
9,ריהוט גן,,,,Beach bed,,,,Yong Ge,YG,,,,,73,WA1067,S-GFYG239,GFYG239,2,GFYG239,GFYG239A,,1500 hours,Beach bed - GFYG239,Beach bed,,71×209×99,0.4,,,,,,,,60 ימי עבודה בכפוף להבהרות,,1833,,,,,,,,,,3.5,,,6416,17%,7506,3,22518,2.5,18765,,2.2,16513,,9007,120.0%,,,,
10,ריהוט גן,,,,Beach bed,,,,Yong Ge,YG,,,,,73,WA1067,S-GFYG239,GFYG239,3,GFYG239,GFYG239A,,sunbrella fabric,Beach bed - GFYG239,Beach bed,,71×209×99,0.4,,,,,,,,60 ימי עבודה בכפוף להבהרות,,2153,,,,,,,,,,3.5,,,7536,17%,8817,3,26450,2.5,22041,,2.2,19396,,10580,120.0%,,,,
