handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_912e7f63-9196-c5f4-1b1c-50ee0fb44393,Product,Beach bed - GFYG607,"<p><b>אפשרות 1:</b></p>Description: Beach bed
<br>Size: 183×208×186
<br>Materials: 1000 hours
<br>Price: 39414
<br>
<p><b>אפשרות 2:</b></p>Description: Beach bed
<br>Size: 183×208×186
<br>Materials: 1500 hours
<br>Price: 40477
<br>
<p><b>אפשרות 3:</b></p>Description: Beach bed
<br>Size: 183×208×186
<br>Materials: sunbrella fabric
<br>Price: 47324
<br>",,Beach bed (סוג);ריהוט גן,S-GFYG607_GFYG607,,39414,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG607_GFYG607_1;S-GFYG607_GFYG607_2;S-GFYG607_GFYG607_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e28681d8-606d-6acb-0d3c-2924309cf22e,Product,Chair - GFYG501,"<p><b>אפשרות 1:</b></p>Description: Chair
<br>Size: 51×57×79
<br>Materials: 1000 hours
<br>Price: 3604
<br>
<p><b>אפשרות 2:</b></p>Description: Chair
<br>Size: 51×57×79
<br>Materials: 1500 hours
<br>Price: 3667
<br>
<p><b>אפשרות 3:</b></p>Description: Chair
<br>Size: 51×57×79
<br>Materials: sunbrella fabric
<br>Price: 4144
<br>",,Chair (סוג);ריהוט גן,S-GFYG501_GFYG501,,3604,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG501_GFYG501_1;S-GFYG501_GFYG501_2;S-GFYG501_GFYG501_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_43a163ea-fda4-754e-4b81-8a810ca1dbd2,Product,Chaise - GFYG354,"<p><b>אפשרות 1:</b></p>Description: Chaise
<br>Size: 127×109×66
<br>Materials: 1000 hours
<br>Price: 20243
<br>
<p><b>אפשרות 2:</b></p>Description: Chaise
<br>Size: 127×109×66
<br>Materials: 1500 hours
<br>Price: 21559
<br>
<p><b>אפשרות 3:</b></p>Description: Chaise
<br>Size: 127×109×66
<br>Materials: sunbrella fabric
<br>Price: 26063
<br>",,Chaise (סוג);ריהוט גן,S-GFYG354_GFYG354,,20243,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG354_GFYG354_1;S-GFYG354_GFYG354_2;S-GFYG354_GFYG354_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_27ed70fc-b8b4-b08e-2ce8-76324fb330a6,Product,Cradle - GFYG572,"<p><b>אפשרות 1:</b></p>Description: Cradle
<br>Size: 76×63×120
<br>Materials: 1000 hours
<br>Price: 8829
<br>
<p><b>אפשרות 2:</b></p>Description: Cradle
<br>Size: 76×63×120
<br>Materials: 1500 hours
<br>Price: 9072
<br>
<p><b>אפשרות 3:</b></p>Description: Cradle
<br>Size: 76×63×120
<br>Materials: sunbrella fabric
<br>Price: 10207
<br>",,Cradle (סוג);ריהוט גן,S-GFYG572_GFYG572,,8829,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG572_GFYG572_1;S-GFYG572_GFYG572_2;S-GFYG572_GFYG572_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5d6c59f8-61cb-839c-bae0-6458fcdfe8de,Product,Dining table - GFYG502,"<p><b>אפשרות 1:</b></p>Description: Dining table
<br>Size: 70.5×70.5×74
<br>Materials: frosted glass top
<br>Price: 5225
<br>
<p><b>אפשרות 2:</b></p>Description: Dining table
<br>Size: 70.5×70.5×74
<br>Materials: teak top
<br>Price: 7270
<br>",,Dining table (סוג);ריהוט גן,S-GFYG502_GFYG502,,5225,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG502_GFYG502_1;S-GFYG502_GFYG502_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3c830ccc-f6f4-5d23-b8d9-1fa649e7b6b2,Product,Double Beach Bed - GFYG394,"<p><b>אפשרות 1:</b></p>Description: Double Beach Bed
<br>Size: 181x211x195
<br>Materials: 1000 hours
<br>Price: 42405
<br>
<p><b>אפשרות 2:</b></p>Description: Double Beach Bed
<br>Size: 181x211x195
<br>Materials: 1500 hours
<br>Price: 44748
<br>
<p><b>אפשרות 3:</b></p>Description: Double Beach Bed
<br>Size: 181x211x195
<br>Materials: sunbrella fabric
<br>Price: 51288
<br>",,Double Beach Bed (סוג);ריהוט גן,S-GFYG394_GFYG394,,42405,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG394_GFYG394_1;S-GFYG394_GFYG394_2;S-GFYG394_GFYG394_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8c0d788a-538d-f1ca-face-af87083949ff,Product,Double Beach Bed - GFYG519,"<p><b>אפשרות 1:</b></p>Description: Double Beach Bed
<br>Size: 146×208×181
<br>Materials: 1000 hours
<br>Price: 31577
<br>
<p><b>אפשרות 2:</b></p>Description: Double Beach Bed
<br>Size: 146×208×181
<br>Materials: 1500 hours
<br>Price: 32676
<br>
<p><b>אפשרות 3:</b></p>Description: Double Beach Bed
<br>Size: 146×208×181
<br>Materials: sunbrella fabric
<br>Price: 38315
<br>",,Double Beach Bed (סוג);ריהוט גן,S-GFYG519_GFYG519,,31577,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG519_GFYG519_1;S-GFYG519_GFYG519_2;S-GFYG519_GFYG519_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b6607246-9b75-de65-4b40-3f24c69e6bbb,Product,Double Beach Bed - GFYG520,"<p><b>אפשרות 1:</b></p>Description: Double Beach Bed
<br>Size: 146×208×96
<br>Materials: 1000 hours
<br>Price: 26712
<br>
<p><b>אפשרות 2:</b></p>Description: Double Beach Bed
<br>Size: 146×208×96
<br>Materials: 1500 hours
<br>Price: 27811
<br>
<p><b>אפשרות 3:</b></p>Description: Double Beach Bed
<br>Size: 146×208×96
<br>Materials: sunbrella fabric
<br>Price: 33450
<br>",,Double Beach Bed (סוג);ריהוט גן,S-GFYG520_GFYG520,,26712,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG520_GFYG520_1;S-GFYG520_GFYG520_2;S-GFYG520_GFYG520_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e37ac6b1-4fcb-ef3e-f132-4e558a2f6a23,Product,Double Hanging-Basket - GFYG573,"<p><b>אפשרות 1:</b></p>Description: Double Hanging-Basket
<br>Size: 241×130×203
<br>Materials: 1000 hours
<br>Price: 41775
<br>
<p><b>אפשרות 2:</b></p>Description: Double Hanging-Basket
<br>Size: 241×130×203
<br>Materials: 1500 hours
<br>Price: 42405
<br>
<p><b>אפשרות 3:</b></p>Description: Double Hanging-Basket
<br>Size: 241×130×203
<br>Materials: sunbrella fabric
<br>Price: 44568
<br>",,Double Hanging-Basket (סוג);ריהוט גן,S-GFYG573_GFYG573,,41775,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG573_GFYG573_1;S-GFYG573_GFYG573_2;S-GFYG573_GFYG573_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_17c4781a-48be-daf7-4d00-04a7e0546c1c,Product,Flower vase - GFYG566,"<p><b>אפשרות 1:</b></p>Description: Flower vase
<br>Size: 44×44×61
<br>Materials: 1000 hours
<br>Price: 4748
<br>
<p><b>אפשרות 2:</b></p>Description: Flower vase
<br>Size: 44×44×61
<br>Materials: 1500 hours
<br>Price: 4748
<br>
<p><b>אפשרות 3:</b></p>Description: Flower vase
<br>Size: 44×44×61
<br>Materials: sunbrella fabric
<br>Price: 4748
<br>",,Flower vase (סוג);ריהוט גן,S-GFYG566_GFYG566,,4748,,TRUE,PERCENT,0,InStock,0,אפשרויות,DROP_DOWN,S-GFYG566_GFYG566_1;S-GFYG566_GFYG566_2;S-GFYG566_GFYG566_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
