handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_da8cff06-7702-0723-7baf-848955f73dd0,Product,סט מלא לחדר שינה ילדים,"Size: 3890
<br>Materials: GUBER NOAM
<br>",4653b922-c50f-4fc6-989b-b9ff7827a239.jpg,Kids Bedrooms,BRK14,,6372.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bc975b7c-c906-2a11-aeaf-78c76cbe682e,Product,סט מלא לחדר שינה ילדים,"Size: 5670
<br>Materials: GUBER TOMY
<br>",c5dc86cf-1b18-41f2-9e78-5a1c30f36d40.jpg,Kids Bedrooms,BRK8,,9287.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_dd421c23-b26d-aad6-d318-1c14da4b3211,Product,סט מלא לחדר שינה ילדים,"Size: 3460
<br>Materials: GUBER KOHAVIM
<br>",423c2243-90b5-4964-87bd-200fd9aa3c71.jpg,Kids Bedrooms,BRK18,,5667.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_073fa810-3525-7048-3857-2f055493146f,Product,סט מלא לחדר שינה ילדים,"Size: 4310
<br>Materials: GUBER CRAZY
<br>",508533cc-49b3-4b9c-bb0e-aa2d8e85081c.jpg,Kids Bedrooms,BRK11,,7060.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_da74858d-ed0d-3cf1-88cc-a90658fe330d,Product,סט מלא לחדר שינה ילדים,"Size: 4320
<br>Materials: GUBER MATRIX
<br>",a2a8dd26-4866-4266-b966-9dc4ea27868b.jpg,Kids Bedrooms,BRK7,,7076.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b0712e47-ecfb-99e2-6f0d-df6880439d77,Product,סט מלא לחדר שינה ילדים,"Size: 4860
<br>Materials: GUBER CLASSICO
<br>",e1e2a51d-ec12-4b97-900d-33d109d35258.jpg,Kids Bedrooms,BRK23,,7961.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bf2d03a6-ca53-e336-9f1d-9c9befb605d4,Product,סט מלא לחדר שינה ילדים,"Size: 5720
<br>Materials: GUBER DORIN
<br>",1e398726-9dc7-4b7e-bfc6-97af13725b17.jpg,Kids Bedrooms,BRK4,,9369.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1378e8e5-cab5-0b7e-c77b-6a63aa470a38,Product,סט מלא לחדר שינה ילדים,"Size: 3940
<br>Materials: GUBER ANABEL
<br>",054ee960-ddec-49c8-8d7c-c8838443234c.jpg,Kids Bedrooms,BRK5,,6454.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_07e0489f-b95c-ce9a-b94e-839576ac0461,Product,סט מלא לחדר שינה ילדים,"Size: 4000
<br>Materials: GUBER ROTEM
<br>",af1d8802-ac3c-4909-83c4-d84648aaf8f7.jpg,Kids Bedrooms,BRK20,,6552.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_71ec4fdd-08b3-0ffb-6be0-9b837bcd91b9,Product,סט מלא לחדר שינה ילדים,"Size: 3230
<br>Materials: GUBER VERED
<br>",25a9bd1d-c7b6-4229-8937-b85fc7b7ea71.jpg,Kids Bedrooms,BRK15,,5291.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_752c3c9a-682a-3249-614c-f2b1ce029619,Product,סט מלא לחדר שינה ילדים,"Size: 4215
<br>Materials: GUBER DOR
<br>",e964f714-91fc-43cb-a79b-a73d7ef99d47.jpg,Kids Bedrooms,BRK13,,6904.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fb2b2c09-45e3-8403-de90-62a12caafb2f,Product,סט מלא לחדר שינה ילדים,"Size: 4215
<br>Materials: GUBER BAMBINO
<br>",5cfbd0f0-964c-4b7d-b302-90ddf783f14f.jpg,Kids Bedrooms,BRK1,,6904.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0a9d7605-e1a8-215f-d493-2d4a9142d592,Product,סט מלא לחדר שינה ילדים,"Size: 3620
<br>Materials: GUBER ELIZABETH
<br>",7f8ff536-dab7-4900-8146-b42c21c42946.jpg,Kids Bedrooms,BRK9,,5930.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cb959c20-c3bd-300a-43a6-0283ff2412dc,Product,סט מלא לחדר שינה ילדים,"Size: 3570
<br>Materials: GUBER GALI
<br>",f9c7bf75-11db-4159-b26c-7196ea76458c.jpg,Kids Bedrooms,BRK10,,5848.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_499ff2ca-9cd1-d30e-db26-aed90c1d923d,Product,סט מלא לחדר שינה ילדים,"Size: 4215
<br>Materials: GUBER CARNAVAL
<br>",83457779-0d03-4bac-af70-0e7cfa2432cc.jpg,Kids Bedrooms,BRK16,,6904.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9ec260eb-1716-dde0-d2fa-01f6526227e8,Product,סט מלא לחדר שינה ילדים,"Size: 4860
<br>Materials: GUBER COSMUS
<br>",9c59af55-0b8d-4849-a21a-20543a8a279a.jpg,Kids Bedrooms,BRK2,,7961.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0648f782-0152-1c5f-66e8-2a094b76c5a6,Product,סט מלא לחדר שינה ילדים,"Size: 4100
<br>Materials: GUBER SUPERBOY
<br>",280ccedf-8a0e-40ba-a9a4-45d973eba23d.jpg,Kids Bedrooms,BRK3,,6716.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4b6524e9-c3eb-0efd-b4ec-f818bac7c160,Product,סט מלא לחדר שינה ילדים,"Size: 4100
<br>Materials: GUBER MAYA
<br>",1bbe3d27-4b09-4649-a872-8a27c5635603.jpg,Kids Bedrooms,BRK21,,6716.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bcd83fcd-95b8-2ed8-d0d7-2771008867d9,Product,סט מלא לחדר שינה ילדים,"Size: 4860
<br>Materials: GUBER NATANEL
<br>",96bf88f9-2a49-4ff7-8d93-9104e5ffe566.jpg,Kids Bedrooms,BRK12,,7961.0,,true,PERCENT,10.0,InStock,0.0,צבע,DROP_DOWN,מלמין;MDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
