No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,95,MD6003-6S,,LTSY1,1,LTSY1,LTSY1A,White/Black,Wooden,תאורה דקורטיבית - LTSY1,pendant lamp,,"79X72X40; 
Φ:700",,,,,,,,,60 ימי עבודה בכפוף להבהרות,825,138,,,,,,,,,,3.5,,,481,17%,563,3.5,1971,3,1689,,2.8,1577,,855,54.2%,,,,
2,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,95,MD6003-6L,,LTSY1,2,LTSY1,LTSY2A,White/Black,Wooden,תאורה דקורטיבית - LTSY1,pendant lamp,,99X99X53; Φ:900,,,,,,,,,60 ימי עבודה בכפוף להבהרות,1000,167,,,,,,,,,,3.5,,,583,17%,683,3.5,2389,3,2048,,2.8,1911,,1036,54.2%,,,,
3,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,,MT6011-1-180,,LTSY3,1,LTSY3,LTSY3A,White/Black,"Carbon steel+
Fabric",תאורה דקורטיבית - LTSY3,table lamp,,"56X27X28; Φ:180
H:560 ",,,,,,,,,60 ימי עבודה בכפוף להבהרות,140,23,,,,,,,,,,3.5,,,82,17%,96,3.5,334,3,287,,2.8,268,,145,54.2%,,,,
4,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,,MT6011-1-180,,LTSY3,2,LTSY3,LTSY3A,Chrome/Golden,"Carbon steel+
PVC",תאורה דקורטיבית - LTSY3,table lamp,,"56X27X28; Φ:180
H:560 ",,,,,,,,,60 ימי עבודה בכפוף להבהרות,155,26,,,,,,,,,,3.5,,,90,17%,106,3.5,370,3,317,,2.8,296,,161,54.2%,,,,
5,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,,MD6011-1-180,,LTSY5,1,LTSY5,LTSY5A,White/Black,"Carbon steel+
Fabric",תאורה דקורטיבית - LTSY5,pendant lamp,,"56X27X28; Φ:180
H:560",,,,,,,,,60 ימי עבודה בכפוף להבהרות,125,21,,,,,,,,,,3.5,,,73,17%,85,3.5,299,3,256,,2.8,239,,130,54.2%,,,,
6,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,,MD6011-1-180,,LTSY5,2,LTSY5,LTSY5A,Chrome/Golden,"Carbon steel+
PVC",תאורה דקורטיבית - LTSY5,pendant lamp,,"56X27X28; Φ:180
H:560",,,,,,,,,60 ימי עבודה בכפוף להבהרות,140,23,,,,,,,,,,3.5,,,82,17%,96,3.5,334,3,287,,2.8,268,,145,54.2%,,,,
7,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,,MB6011-1-180,,LTSY7,1,LTSY7,LTSY7A,White/Black,"Carbon steel+
Fabric",תאורה דקורטיבית - LTSY7,wall lamp,,"56X27X28; Φ:180
H:560",,,,,,,,,60 ימי עבודה בכפוף להבהרות,125,21,,,,,,,,,,3.5,,,73,17%,85,3.5,299,3,256,,2.8,239,,130,54.2%,,,,
8,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,,MB6011-1-180,,LTSY7,2,LTSY7,LTSY7A,Chrome/Golden,"Carbon steel+
PVC",תאורה דקורטיבית - LTSY7,wall lamp,,"56X27X28; Φ:180
H:560",,,,,,,,,60 ימי עבודה בכפוף להבהרות,140,23,,,,,,,,,,3.5,,,82,17%,96,3.5,334,3,287,,2.8,268,,145,54.2%,,,,
9,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,,MB6011-1-230,,LTSY9,1,LTSY9,LTSY9A,White/Black,"Carbon steel+
Fabric",תאורה דקורטיבית - LTSY9,wall lamp,,76X31X31; Φ:230 H:560,,,,,,,,,60 ימי עבודה בכפוף להבהרות,155,26,,,,,,,,,,3.5,,,90,17%,106,3.5,370,3,317,,2.8,296,,161,54.2%,,,,
10,תאורה,תאורה דקורטיבית,,,,תאורה,בית חכם,,SUOYANG ,SU,,,,,,MB6011-1-230,,LTSY9,2,LTSY9,,Chrome/Golden,"Carbon steel+
PVC",תאורה דקורטיבית - LTSY9,wall lamp,,76X31X31; Φ:230 H:560,,,,,,,,,60 ימי עבודה בכפוף להבהרות,180,30,,,,,,,,,,3.5,,,105,17%,123,3.5,430,3,369,,2.8,344,,186,54.2%,,,,
