No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,ריהוט,,Queen bed,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,16,7001#,,FRDZ4,1,FRDZ4,FRDZ4A,,Ash+Rowan,Queen bed - FRDZ41,Queen bed,,1500*2000,0.56,,,,,,,,60 ימי עבודה בכפוף להבהרות,,768.9,1.5,,,,,,,,1153.35,3.5,,,2691,17%,3149,2.5,7872,,,,2.2,6927,,3778,54.5%,,,,
2,ריהוט,,King bed,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,16,7001#,,FRDZ4,2,FRDZ4,FRDZ4A,,Ash+Rowan,King bed - FRDZ42,King bed,,Mattress: 1800*2000,0.6,,,,,,,,60 ימי עבודה בכפוף להבהרות,,793.1,1.5,,,,,,,,1189.65,3.5,,,2776,17%,3248,2.5,8119,,,,2.2,7145,,3897,54.5%,,,,
3,ריהוט,,Night stand,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,20,7003# ,,FRDZ6,,FRDZ6,FRDZ6A,,Ash,Night stand - FRDZ6,Night stand,,500*450*450,0.15,,,,,,,,60 ימי עבודה בכפוף להבהרות,,127.6,1.5,,,,,,,,191.4,3.5,,,447,17%,523,2.5,1306,,,,2.2,1150,,627,54.5%,,,,
4,ריהוט,,Night stand,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,19,7002# ,,FRDZ7,,FRDZ7,FRDZ7A,,Ash+metal,Night stand - FRDZ7,Night stand,,535*400*1300,0.14,,,,,,,,60 ימי עבודה בכפוף להבהרות,,210.1,1.5,,,,,,,,315.15,3.5,,,735,17%,860,2.5,2151,,,,2.2,1893,,1032,54.5%,,,,
5,ריהוט,,Side table,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,88,330#,,FRDZ8,,FRDZ8,FRDZ8A,,Ash+metal,Side table - FRDZ8,Side table,,400*210*520,0.06,,,,,,,,60 ימי עבודה בכפוף להבהרות,,93.5,1.5,,,,,,,,140.25,3.5,,,327,17%,383,2.5,957,,,,2.2,842,,459,54.5%,,,,
6,ריהוט,,dining table top,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,17,7101#,,FRDZ9,1,FRDZ9,FRDZ9A,,Ash,dining table top - FRDZ91,dining table top,,2600*900*45,0.67,,,,,,,,60 ימי עבודה בכפוף להבהרות,,776.6,1.5,,,,,,,,1164.9,3.5,,,2718,17%,3180,2.5,7950,,,,2.2,6996,,3816,54.5%,,,,
7,ריהוט,,dining table top,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,17,7101#,,FRDZ9,2,FRDZ9,FRDZ9A,,Ash+Rowan,dining table top - FRDZ92,dining table top,,2000*850*45,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,581.9,1.5,,,,,,,,872.85,3.5,,,2037,17%,2383,2.5,5957,,,,2.2,5242,,2859,54.5%,,,,
8,ריהוט,,dining table top,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,17,7101#,,FRDZ9,3,FRDZ9,FRDZ9A,,Ash+Rowan,dining table top - FRDZ93,dining table top,,1600*850*45,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,477.4,1.5,,,,,,,,716.1,3.5,,,1671,17%,1955,2.5,4887,,,,2.2,4301,,2346,54.5%,,,,
9,ריהוט,,Dinng table top,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,17,,,FRDZ13,1,FRDZ13,FRDZ13A,,Ash,Dinng table top - FRDZ131,Dinng table top,,2600*900*45,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,776.6,1.5,,,,,,,,1164.9,3.5,,,2718,17%,3180,2.5,7950,,,,2.2,6996,,3816,54.5%,,,,
10,ריהוט,,Dinng table top,,ריהוט עץ,,,,DZ,DZ,,,DZ Furnitur,,17,7101#,,FRDZ13,2,FRDZ13,FRDZ13A,,Ash+Rowan,Dinng table top - FRDZ132,Dinng table top,,2000*900*45,,,,,,,,,60 ימי עבודה בכפוף להבהרות,,581.9,1.5,,,,,,,,872.85,3.5,,,2037,17%,2383,2.5,5957,,,,2.2,5242,,2859,54.5%,,,,
