HomMe ITEM NUMBER,MAIN PICTURE,OTHER PICTURES,COLORS,MATERIAL,PRODUCT NAME,Descreption,Size,Cost,price shekel,price -10%,Price
LR1,LR1,LR1A,,מלמין/MDF,LIVING ROOM - LR1,סט לסלון,,2650,,,4341
LR2,LR2,LR2A,,מלמין/MDF,LIVING ROOM - LR2,סט לסלון,,2700,,,4423
LR3,LR3,LR3A,,מלמין/MDF,LIVING ROOM - LR3,סט לסלון,,2485,,,4070
LR4,LR4,LR4A,,מלמין/MDF,LIVING ROOM - LR4,סט לסלון,,2160,,,3538
LR5,LR5,LR5A,,מלמין/MDF,LIVING ROOM - LR5,סט לסלון,,2050,,,3358
LR6,LR6,LR6A,,מלמין/MDF,LIVING ROOM - LR6,סט לסלון,,2150,,,3522
LR7,LR7,LR7A,,מלמין/MDF,LIVING ROOM - LR7,סט לסלון,,1610,,,2637
LR8,LR8,LR8A,,מלמין/MDF,LIVING ROOM - LR8,סט לסלון,,1610,,,2637
LR9,LR9,LR9A,,מלמין/MDF,LIVING ROOM - LR9,סט לסלון,,1190,,,1949
LR10,LR10,LR10A,,מלמין/MDF,LIVING ROOM - LR10,סט לסלון,,1190,,,1949
