No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,סלון,סט פינת ישיבה,COUCH,,,,,,STEEL-ARTS,SA,,,,,5,SF8671L5,S-SOSA1,SOSA1,,SOSA1,SOSA1A,,FEATHER SOFA,סט פינת ישיבה - SOSA1,"3 SEATER, COUCH",,281X100X80,2.248,,,,,,,,60 ימי עבודה בכפוף להבהרות,,1242,1.5,,,,,,,,1863,3.5,,,4347,17%,5086,2.5,12715,,,,2.2,11189,,6103,54.5%,,,,
2,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,5,ST13A,S-SOSA1,SOSA2,1,SOSA1,SOSA1A,,MDF+BRUSHED STAINLESS,סט פינת ישיבה - SOSA21,COFFEE TABLE,,120X80X35,0.27,,,,,,,,61 ימי עבודה בכפוף להבהרות,,144,1.5,,,,,,,,216,3.5,,,504,17%,590,2.5,1474,,,,2.2,1297,,708,54.5%,,,,
3,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,5,ST13B,S-SOSA1,SOSA2,2,SOSA1,SOSA1A,,MDF+BRUSHED STAINLESS,סט פינת ישיבה - SOSA22,COFFEE TABLE,,80X80X47,0.22,,,,,,,,62 ימי עבודה בכפוף להבהרות,,128,1.5,,,,,,,,192,3.5,,,448,17%,524,2.5,1310,,,,2.2,1153,,629,54.5%,,,,
4,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,5,ST13C,S-SOSA1,SOSA2,3,SOSA1,SOSA1A,,MDF+BRUSHED STAINLESS,סט פינת ישיבה - SOSA23,COFFEE TABLE,,90X50X53,0.17,,,,,,,,63 ימי עבודה בכפוף להבהרות,,92,1.5,,,,,,,,138,3.5,,,322,17%,377,2.5,942,,,,2.2,829,,452,54.5%,,,,
5,סלון,סט פינת ישיבה,OTTOMAN,,,,,,STEEL-ARTS,SA,,,,,5,SC01A,S-SOSA1,SOSA5,,SOSA1,SOSA1A,,LEATHER+SOLID WOOD,סט פינת ישיבה - SOSA5,OTTOMAN,,48X48X40,0.11,,,,,,,,64 ימי עבודה בכפוף להבהרות,,154,1.5,,,,,,,,231,3.5,,,539,17%,631,2.5,1577,,,,2.2,1387,,757,54.5%,,,,
6,סלון,סט פינת ישיבה,SHOWCASE,,,,,,STEEL-ARTS,SA,,,,,5,S0088,S-SOSA1,SOSA6,,SOSA1,SOSA1A,,IRON+LEATHER,סט פינת ישיבה - SOSA6,SHOWCASE,,200X400X1800,1.8,,,,,,,,65 ימי עבודה בכפוף להבהרות,,2250,1.5,,,,,,,,3375,3.5,,,7875,17%,9214,2.5,23034,,,,2.2,20270,,11057,54.5%,,,,
7,סלון,סט פינת ישיבה,LEISURE CHAIR,,,,,,STEEL-ARTS,SA,,,,,5,SC56A,S-SOSA1,SOSA7,,SOSA1,SOSA1A,,FABRIC+SOLID WOOD,סט פינת ישיבה - SOSA7,LEISURE CHAIR,,69X65X68,0.35,,,,,,,,66 ימי עבודה בכפוף להבהרות,,222,1.5,,,,,,,,333,3.5,,,777,17%,909,2.5,2273,,,,2.2,2000,,1091,54.5%,,,,
8,סלון,סט פינת ישיבה,COUCH,,,,,,STEEL-ARTS,SA,,,,,7,SF8671F,S-SOSA8,SOSA8,,SOSA8,,,FEATHER SOFA,סט פינת ישיבה - SOSA8,3 SEATER,,30X100X80,2.456,,,,,,,,67 ימי עבודה בכפוף להבהרות,,686,1.5,,,,,,,,1029,3.5,,,2401,17%,2809,2.5,7023,,,,2.2,6180,,3371,54.5%,,,,
9,סלון,סט פינת ישיבה,OTTOMAN,,,,,,STEEL-ARTS,SA,,,,,7,SC01B,S-SOSA8,SOSA9,,SOSA8,,,FABRIC+SOLID WOOD,סט פינת ישיבה - SOSA9,OTTOMAN,,48X48X40,0.11,,,,,,,,68 ימי עבודה בכפוף להבהרות,,100,1.5,,,,,,,,150,3.5,,,350,17%,410,2.5,1024,,,,2.2,901,,491,54.5%,,,,
10,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,7,ST13B,S-SOSA8,SOSA10,,SOSA8,,,MDF+BRUSHED STAINLESS,סט פינת ישיבה - SOSA10,COFFEE TABLE,,80X80X47,0.22,,,,,,,,69 ימי עבודה בכפוף להבהרות,,128,1.5,,,,,,,,192,3.5,,,448,17%,524,2.5,1310,,,,2.2,1153,,629,54.5%,,,,
11,סלון,סט פינת ישיבה,CORNER SOFA,,,,,,STEEL-ARTS,SA,,,,,8,SF8671L5,S-SOSA11,SOSA11,,SOSA11,,,FEATHER SOFA,סט פינת ישיבה - SOSA11,CORNER SOFA,,281X100X80,2.248,,,,,,,,70 ימי עבודה בכפוף להבהרות,,1242,1.5,,,,,,,,1863,3.5,,,4347,17%,5086,2.5,12715,,,,2.2,11189,,6103,54.5%,,,,
12,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,8,ST8671,S-SOSA11,SOSA12,,SOSA11,,,MARBLE+SOLID WOOD,סט פינת ישיבה - SOSA12,COFFEE TABLE,,130X80X38,0.52,,,,,,,,71 ימי עבודה בכפוף להבהרות,,518,1.5,,,,,,,,777,3.5,,,1813,17%,2121,2.5,5303,,,,2.2,4667,,2545,54.5%,,,,
13,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,8,ST10D,S-SOSA11,SOSA13,,SOSA11,,,SOLID WOOD,סט פינת ישיבה - SOSA13,COFFEE TABLE,,40X40X46,0.19,,,,,,,,72 ימי עבודה בכפוף להבהרות,,83,1.5,,,,,,,,124.5,3.5,,,291,17%,340,2.5,850,,,,2.2,748,,408,54.5%,,,,
14,סלון,סט פינת ישיבה,COFFEE TABLE,,,,,,STEEL-ARTS,SA,,,,,8,ST13C ,S-SOSA11,SOSA14,,SOSA11,,,MDF+BRUSHED STAINLESS,סט פינת ישיבה - SOSA14,COFFEE TABLE,,90X50X53,0.17,,,,,,,,73 ימי עבודה בכפוף להבהרות,,132,1.5,,,,,,,,198,3.5,,,462,17%,541,2.5,1351,,,,2.2,1189,,649,54.5%,,,,
15,סלון,סט פינת ישיבה,LEISURE CHAIR,,,,,,STEEL-ARTS,SA,,,,,8,SC8617,S-SOSA11,SOSA15,,SOSA11,,,LEATHER,סט פינת ישיבה - SOSA15,LEISURE CHAIR,,69X96X80,0.62,,,,,,,,74 ימי עבודה בכפוף להבהרות,,823,1.5,,,,,,,,1234.5,3.5,,,2881,17%,3370,2.5,8425,,,,2.2,7414,,4044,54.5%,,,,
