No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,407A,,SIAD1,,SIAD1,,,CERAMIC,CERAMIC SINK - SIAD1,כיור חרס,,590*370*150,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,625,60%,250,17%,293,2,585,1.7,497,17890,1.4,410,,117,40.0%,,,,
2,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,487,,SIAD10,,SIAD10,,,CERAMIC,CERAMIC SINK - SIAD10,כיור חרס,,600*340*110,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,600,60%,240,17%,281,2,562,1.7,477,17890,1.4,393,,112,40.0%,,,,
3,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,488,,SIAD11,,SIAD11,,,CERAMIC,CERAMIC SINK - SIAD11,כיור חרס,,370*370*120,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,565,60%,226,17%,264,2,529,1.7,450,17890,1.4,370,,106,40.0%,,,,
4,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,836,,SIAD12,,SIAD12,,,CERAMIC,CERAMIC SINK - SIAD12,כיור חרס,,600*400*150,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,600,60%,240,17%,281,2,562,1.7,477,17890,1.4,393,,112,40.0%,,,,
5,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,496,,SIAD13,,SIAD13,,,CERAMIC,CERAMIC SINK - SIAD13,כיור חרס,,415*415*145,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,525,60%,210,17%,246,2,491,1.7,418,17890,1.4,344,,98,40.0%,,,,
6,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,493,,SIAD14,,SIAD14,,,CERAMIC,CERAMIC SINK - SIAD14,כיור חרס,,495*390*150,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,510,60%,204,17%,239,2,477,1.7,406,17890,1.4,334,,95,40.0%,,,,
7,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,497,,SIAD15,,SIAD15,,,CERAMIC,CERAMIC SINK - SIAD15,כיור חרס,,570*420*150,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,625,60%,250,17%,293,2,585,1.7,497,17890,1.4,410,,117,40.0%,,,,
8,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,498,,SIAD16,,SIAD16,,,CERAMIC,CERAMIC SINK - SIAD16,כיור חרס,,420*420*140,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,525,60%,210,17%,246,2,491,1.7,418,17890,1.4,344,,98,40.0%,,,,
9,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,601C,,SIAD17,,SIAD17,,,CERAMIC,CERAMIC SINK - SIAD17,כיור חרס,,400*400*150,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,525,60%,210,17%,246,2,491,1.7,418,17890,1.4,344,,98,40.0%,,,,
10,סניטריה,כיורים,CERAMIC SINK,,,מקלחות וחדרי שירותים,ארונות מקלחות,,ADAR,AD,ADAR,,CERAMIC SINK,,,881,,SIAD18,,SIAD18,,,CERAMIC,CERAMIC SINK - SIAD18,כיור חרס,,600*400*150,,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,625,60%,250,17%,293,2,585,1.7,497,17890,1.4,410,,117,40.0%,,,,
