No.,Main_Category,Secondary_Category,Sub_Category,Sub_Category_ID,Type,Related_Area,Complementary_Categories,Complementary_Products,Supplier,Supplier_Code,Brand,Display_the _brand,Model,Diaplay_the_brand,Catalog_Page,Supplier_SKU,Set,HomMe_SKU,Sub_HomMe_SKU,Main_Picture,Other_Pictures,Colors,Material,Product_Name,Description,Promotion_Message,Size,CBM（m³）,Hight_calc,Width_calc,Depth_calc,Thinkness_calc,Material_calc,Cubes_calc,In_Stock,Time_to_order,Cost_Original,Cost_Original_USD,Multiplier_Cost_Handling,Cost_Handling_USD,Multiplier_Cost_Shipping,Cost_Shipping_USD,Multiplier_Cost_Taxes,Cost_Taxes_USD,Multiplier_Cost_ISR_Shipping,Cost_ISR_Shipping_USD,Total_Cost_USD,Dollar_Exchange_Rate,Catalog_Price,Retailer_Discount,Cost_ILS,VAT,Cost_incVAT,Multiplier_Before_Normal_Price,Normal_Price,Multiplier_Shope_Price,Shope_Price,Marketing_Price_Customer,Multiplier_Designer_Price,Designer_Price,Special_Price_Sectorial,Profit,Profit_Prc,Shipping_Info,Return_Policy,Warranty,Additional_Info
1,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,729 בלוצ'י,,SORB1,,SORB1,,"אבן מעונן, אפור עכבר",ריפוד עור מלא טבעי לא מעובד,ספות - SORB1,ספה מעוצבת I תוצרת איטליה,,"מידות: 320 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,"1,210",60%,11000,17%,12870,1.6,20592,1.4,18018,17890,1.3,16731,,3861,30.0%,,,,
2,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,755 אלסייה,,SORB2,,SORB2,SORB2A,"אבן מעונן, אפור עכבר",ריפוד עור מלא טבעי לא מעובד,ספות - SORB2,ספה מעוצבת I תוצרת איטליה,,"מידות: 297 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,8500,17%,9945,1.6,15912,1.4,13923,,1.3,12929,,2984,30.0%,,,,
3,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,3008 פינתי,,SORB3,,SORB3,SORB3A,"לבן, אפור בהיר, ירוק כהה, שחור",ריפוד עור מלא,ספות - SORB3,מערכת ישיבה פינתית I תוצרת איטליה,,"מידות 227X325 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.6,0,1.4,0,,1.3,0,,0,#DIV/0!,,,,
4,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,5000 פינתי,,SORB4,,SORB4,SORB4A,"אפור כהה, אפור בהיר, אבן, מוקה, לבן, שחור",ריפוד עור מלא,ספות - SORB4,מערכת ישיבה פינתית I בשילוב משענות ראש מתכווננות I תוצרת איטליה,,"מידות 310*230 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,8500,17%,9945,1.6,15912,1.4,13923,,1.3,12929,,2984,30.0%,,,,
5,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,5000 סט 3+2,,SORB5,,SORB5,,,ריפוד עור מלא,ספות - SORB5,מערכת ישיבה סט 3+2 I בשילוב משענות ראש מתכווננות I תוצרת איטליה,,"מידות: תלת- 230 ס""מ, דו- 170 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,8500,17%,9945,1.6,15912,1.4,13923,,1.3,12929,,2984,30.0%,,,,
6,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,5002 לורן,,SORB6,,SORB6,SORB6A,"אפור כהה, אפור בהיר, אבן, אבן קרם, לבן, שחור",ריפוד עור מלא,ספות - SORB6,מערכת ישיבה פינתית I בשילוב משענות ראש מתכווננות I תוצרת איטליה,,"מידות 305X225 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,8500,17%,9945,1.6,15912,1.4,13923,,1.3,12929,,2984,30.0%,,,,
7,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,5004 VOX,,SORB7,,SORB7,,"אפור כהה, אבן, נטורל",ריפוד עור טבעי מלא,ספות - SORB7,מערכת ישיבה פינתית I בשילוב משענות ראש מתכווננות I מושב ויסקו I תוצרת איטליה,,"מידות 230*300 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,9500,17%,11115,1.6,17784,1.4,15561,,1.3,14450,,3335,30.0%,,,,
8,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,50060 סט 3+2,,SORB8,,SORB8,,"אפור בהיר בשילוב אפור כהה, שחור, אבן, אפור בהיר, אפור כהה",ריפוד עור מלא,ספות - SORB8,מערכת ישיבה סט 3+2 I תוצרת איטליה,,"מידות - תלת: 220 ס""מ דו: 180 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.6,0,1.4,0,,1.3,0,,0,#DIV/0!,,,,
9,סלון,ספות,,,,,,,ROBINS,RB,,,ITALIAN COLECTION,,,50070 Cappi,,SORB9,,SORB9,"SORB9A, SORB9B","אבן, נטורל, אפור כהה",ריפוד עור טבעי מלא,ספות - SORB9,מערכת ישיבה פינתית I תוצרת איטליה,,"מידות: 305X230 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,,17%,0,1.6,0,1.4,0,,1.3,0,,0,#DIV/0!,,,,
10,סלון,ספות,,,,,,,ROBINS,RB,,,FABRIC COLECTION,,,901 פינתי,,SORB10,,SORB10,SORB10A,אפור כהה בשילוב אפור בהיר,ריפוד בד,ספות - SORB10,מערכת ישיבה פינתית,,"מידות: 194*292 ס""מ",,,,,,,,,בתוך 7 ימי עבודה בכפוף לבדיקת מלאי,,,,,,,,,,,,,,,3400,17%,3978,1.6,6365,1.4,5569,,1.3,5171,,1193,30.0%,,,,
