handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,customTextField1,customTextCharLimit1,customTextMandatory1
aa72c7b0-be89-4f95-9494-0489b211f5f4,Product,CHAIR F2-124,"Description: Chair, StructureStainless Steel (GOLD) with PU cover<br>Size: (L)82*(W)64*(H)75 cm<br>Materials: STAINLESS STEEL(GOLD),PU<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_124A_BT.jpg,Chairs,F2-124,,1925,,true,PERCENT,10,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e1980f0-908b-4174-b4f8-e24116364bde,Product,CHAIR F2-292,"Description: Chair, Structure Full PC<br>Size: (L)51*(D)49*(H)78 cm       Seat High: 45 cm<br>Materials: PC<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_293A_SW.jpg,Chairs,F2-292,,411,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,CLEAR;RED;BLUE;SMOKE;ORANGE;SOLID WHITE;SOLID BLACK,,,,,,,,,,,,,,,,,,,,,,,,
7259280d-799f-4f1a-8051-eb5b1ad7ae32,Product,CHAIR F2-107,,https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_107A_BT.jpg,Chairs,F2-107,,0,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,,,,,,,,,,,,,,,,,,,,,,,,,
1da1f5ac-7c89-4b95-8716-75f910270ccf,Product,CHAIR F2-203,"Description: Chair, Structure Wood with ABS seat<br>Materials: WOOD,ABS<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203D_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203C_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203F_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203I_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203H_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203J_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203A_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203B_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203L_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_203K_SW.jpg,Chairs,F2-203,,438,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,WHITE FRONT+WHITE;RED;GREEN;ORANGE;BLACK;WHITE;YELLOW BACK,,,,,,,,,,,,,,,,,,,,,,,,
78f437a1-a2b4-40a9-80bc-9669ee1527b3,Product,CHAIR F2-269,"Description: Chair, Structure Wood with PU/Fabric cover<br>Size: (L)54*(D)59*(H)82 cm       Seat High: 44 cm<br>Materials: WOOD,FABRIC/PU<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269H_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269E_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269D_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269F_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269A_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269C_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269G_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269B_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_269I_SW.jpg,Chairs,F2-269,,691,,true,PERCENT,10,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a3a3e5d-33f1-4150-a3df-b8be804b331d,Product,CHAIR F2-233B,"Description: Chair, Structure Wood legs & PP seat with Fabric cover<br>Size: (L)65*(D)73*(H)85 cm        Seat High: 45 cm<br>Materials: WOOD,PP,FABRIC<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_233BB_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_233BA_SW.jpg,Chairs,F2-233B,,648,,true,PERCENT,10,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc7353f5-4c77-44b1-affc-b61bee8f2e57,Product,CHAIR F2-281,"Description: Chair, Structure Wood<br>Size: (L)49*(D)47*(H)85 cm       Seat High: 46 cm<br>Materials: WOOD<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281C_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281A_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281L_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281B_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281E_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281K_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281I_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281J_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281H_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_281G_SW.jpg,Chairs,F2-281,,0,,true,PERCENT,10,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d54f7f18-29cc-4f7c-83c1-9dcae269b55a,Product,CHAIR F2-9,"Description: Chair, Structure Seat in PP , Legs in Metal<br>Size: (L)50*(W)56.5*(H)75 cm      Seat High: 46 cm<br>Materials: PP,METAL<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_9_SH.jpg,Chairs,F2-9,,153,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,WHITE;BLACK;RED;GREEN;BLUE;YELLOW;ORANGE,,,,,,,,,,,,,,,,,,,,,,,,
72d71eb2-4d1e-4928-ac1e-f04a50fd93b7,Product,CHAIR F2-10,"Description: Chair, Structure Full ABS<br>Size: (L)56*(W)52*(H)83.5 cm      Seat High: 48 cm<br>Materials: PC<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_10B_SH.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_10A_SH.jpg,Chairs,F2-10,,263,,true,PERCENT,10,InStock,,צבע,DROP_DOWN,WHITE;BLACK;RED;GREEN;BLUE;YELLOW;GREY;ORANGE;CLEAR;SMOKE GREY;CLEAR RED,,,,,,,,,,,,,,,,,,,,,,,,
daba7476-61be-47ee-a862-25dbe69ef075,Product,CHAIR F2-208,"Description: Chair, Structure Wood & PP with Fabric cover<br>Size: (L)55*(D)50*(H)83 cm        Seat High: 46 cm<br>Materials: WOOD,PP,FABRIC<br>",https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_208A_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_208C_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_208E_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_208B_SW.jpg;https://raw.githubusercontent.com/ValeriyLeykin/homme/master/chairs/Pictures/4_Chair_208D_SW.jpg,Chairs,F2-208,,403,,true,PERCENT,10,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
